username,sentiment,sentiment
19friday,Negative,100.0
361336rigs,Positive,100.0
ACA_Sherpa,Negative,100.0
AKBrews,Positive,100.0
ActuallyMaxton,Negative,100.0
AdamSmith30303,Negative,100.0
AdonisofChicago,Negative,100.0
AlbertWLaser1,Positive,100.0
AleaHuggins,Positive,100.0
AlexDropkin,Negative,100.0
AlexandraRoti,Positive,100.0
AlterEgoChicago,Negative,100.0
AndyHerren,Negative,100.0
Ania_Fotography,Positive,100.0
AnkeKoning,Positive,100.0
AstridRocio75,Positive,100.0
Austin_H2O,Positive,100.0
BB714CHI,Negative,50.0
BB714CHI,Positive,50.0
BKwagent,Negative,100.0
B_C2323,Negative,100.0
BarbaraWieczor7,Negative,100.0
BeauRocMane,Negative,100.0
BeccaPiano,Negative,100.0
BenResists,Negative,50.0
BenResists,Positive,50.0
Bigkato1,Negative,50.0
Bigkato1,Positive,50.0
BillBrewsterSCG,Negative,100.0
BillPackMagic,Positive,100.0
BireshT,Positive,66.66666666666666
BireshT,Negative,33.33333333333333
BlairKamin,Positive,100.0
BlessedEvnts,Positive,100.0
BobOsbourne,Negative,100.0
BulgarianPapi,Negative,100.0
BzSawyer,Negative,50.0
BzSawyer,Positive,50.0
CCandyLuv,Negative,100.0
CIDdrWHO,Positive,100.0
Camp_Powhatan,Positive,100.0
Carissawashere,Negative,70.83333333333334
Carissawashere,Positive,29.166666666666668
CaroPierpaolo,Positive,100.0
CarolWaitse,Positive,100.0
CarrieK21674642,Negative,100.0
Castantine,Negative,100.0
CastonChris,Negative,50.0
CastonChris,Positive,50.0
CatrionaMDW,Negative,50.0
CatrionaMDW,Positive,50.0
ChasMiller54,Negative,50.0
ChasMiller54,Positive,50.0
ChgoNick,Negative,100.0
ChiBarb,Positive,100.0
ChiTownCheese,Negative,100.0
ChiTownSidBrown,Negative,100.0
Chicago1Ray,Negative,100.0
Chintabernie,Negative,100.0
ChrisALadd,Negative,100.0
ChrisJingledell,Negative,100.0
ClaireParins,Positive,100.0
ClubhouseCancer,Negative,100.0
Coinfox1,Negative,100.0
Commonm70980959,Negative,100.0
CoughlinBrett,Positive,100.0
Crackerthe4th,Negative,100.0
Craig_RINV,Negative,100.0
Crell,Negative,100.0
CrownedGodzilla,Negative,100.0
CrystenNovak,Positive,100.0
DBBarto,Negative,100.0
DCotter1,Positive,100.0
DJMarissaRomano,Negative,50.0
DJMarissaRomano,Positive,50.0
Dankha_Gym,Negative,100.0
DawneeG67,Negative,100.0
DellinoSusan,Positive,100.0
DinaEllithorpe,Negative,100.0
DogbertStan,Negative,100.0
DonaldRBerta1,Negative,100.0
DonaldTuohy1,Negative,100.0
DonkeyPunchINFO,Negative,66.66666666666666
DonkeyPunchINFO,Positive,33.33333333333333
DonnaD69,Positive,100.0
Dothraki2020,Negative,100.0
DrDrrrDVM,Negative,100.0
DrLindaShelton,Positive,100.0
Dreamer08653284,Negative,100.0
DsaFemme,Negative,100.0
DudeRiley7,Negative,50.0
DudeRiley7,Positive,50.0
DumkeKristen,Negative,100.0
DwarvenPolitics,Negative,100.0
Dynasty_the_rea,Negative,100.0
EconomyRules,Positive,100.0
EdwardARowe1,Positive,80.0
EdwardARowe1,Negative,20.0
EliasCepeda,Positive,100.0
Elijahsbrain,Positive,100.0
EricRinehart33,Positive,100.0
ErinConrad2,Negative,100.0
EstherRoseBloom,Negative,100.0
FcQuarantine,Negative,100.0
FialloHolger,Positive,100.0
FineWhiner,Negative,100.0
FleischmanSteve,Negative,100.0
FlyStatement,Negative,100.0
