date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-07-18 23:59:05,Rob_Robb,nytimes,0,0,0,"A biden and trump presidency is nowhere near the same. What is this? ",,,,1284638857808486400,https://twitter.com/Rob_Robb/status/1284638857808486400
2020-07-18 23:58:50,chat_t_cat,JoeBiden,0,0,0,"If you feel you haven’t done enough, then please be sure to do more during your presidency!",,,,1284638794822680579,https://twitter.com/chat_t_cat/status/1284638794822680579
2020-07-18 23:57:52,ActuallyMaxton,IngrahamAngle,0,0,1,"Real nice political endorsement for Joe Biden from Laura, here. ",,,,1284638551552995330,https://twitter.com/ActuallyMaxton/status/1284638551552995330
2020-07-18 23:56:47,tha_prodigy11,ClaytonMorris,0,0,1,"With everything happening in this country, they managed to do this stupid photo op. Hasn’t come up with a plan to slow the spread of the virus yet has time to do this an do that emergency press conference to bash Biden. No leadership. Just a big disgrace.",,,,1284638278898069507,https://twitter.com/tha_prodigy11/status/1284638278898069507
2020-07-18 23:52:55,kamuleosaurus,,0,0,0,"I mean, really, what *is* Joe Biden's campaign anyway? Except for all the Lincoln Project and VBNMH a-holes, there's really nothing there",,,,1284637306016718850,https://twitter.com/kamuleosaurus/status/1284637306016718850
2020-07-18 23:51:28,kamuleosaurus,,3,0,2,"I still don't really understand this. Obama was apparently principled enough to ""not interfere"" the whole primary but then the day before Super Tuesday he just throws it to BIDEN? I don't get it.",,,,1284636941263175682,https://twitter.com/kamuleosaurus/status/1284636941263175682
2020-07-18 23:50:54,Marsh_Ink,GadaboutH,2,0,0,"besides, asthma is a legitimate reason. Unlike trump. Also here. There’s this great photo I’m surprised hasn’t been utilized by Biden more. ",,,,1284636797939720198,https://twitter.com/Marsh_Ink/status/1284636797939720198
2020-07-18 23:50:00,kamuleosaurus,,1,1,5,"Why Biden? Why *didn't* they rally around another Republican-like figure like Pete Buttigieg or Kamala Harris or Amy Klobuchar? Why did they go with the person with arguably the most baggage and the least capability to...run a campaign?",,,,1284636569425588224,https://twitter.com/kamuleosaurus/status/1284636569425588224
2020-07-18 23:45:16,thelastpinkcar,michaelscherer,0,0,1,"Lol, because when you think of Joe Biden you automatically think of dystopian. SMH",,,,1284635378683719681,https://twitter.com/thelastpinkcar/status/1284635378683719681
2020-07-18 23:44:58,MegAndBubba,IngrahamAngle,0,0,0,"What I'm hearing is that a vote for Biden is a vote for accountability? You know accountability is a good thing, right?",,,,1284635304318644230,https://twitter.com/MegAndBubba/status/1284635304318644230
2020-07-18 23:44:07,ronnmail,JoeBiden,0,0,2,"Thank you Joe Biden, those are kind words for one of our African American icons that survived the pointed spear of the civil rights movement. ",,,,1284635089213763584,https://twitter.com/ronnmail/status/1284635089213763584
2020-07-18 23:42:41,ejthies15,sophiacentrist,0,2,35,"Yes. For stating that Biden was the best candidate for the country because we’d have help from Independent voters. 40% of voters are Independents. We need all hands on deck to defeat the orange monster. Heaven forbid I have a reasonable thought process!?",,,,1284634728503672832,https://twitter.com/ejthies15/status/1284634728503672832
2020-07-18 23:41:31,pedavi,D_jeneration,0,0,0,"Sell it to Trumps charity",,,,1284634437142052865,https://twitter.com/pedavi/status/1284634437142052865
2020-07-18 23:41:13,Marsh_Ink,GadaboutH,1,0,0,"Stop assuming people attacking trump endorse Biden ",,,,1284634359325130753,https://twitter.com/Marsh_Ink/status/1284634359325130753
2020-07-18 23:39:51,MiddleMolly,QStormisuponus,0,0,0,"How in the world would you interpret that as ""racist""? You go back to defending the racist cheeto... and what's that little frog about these days?",,,,1284634016373760000,https://twitter.com/MiddleMolly/status/1284634016373760000
2020-07-18 23:34:27,MiddleMolly,Richard16211139,0,0,1,"Doesn't matter what she told the mom; the snippet from Larry King is not corroboration that she was assaulted by Biden. The daughter told the mom that there was a ""problem"" in Biden's office. That's it.",,,,1284632658295894018,https://twitter.com/MiddleMolly/status/1284632658295894018
2020-07-18 23:29:50,chimp_chimp1,biden_brigade,2,0,0,"Nice work, BB.",,,,1284631495378907137,https://twitter.com/chimp_chimp1/status/1284631495378907137
2020-07-18 23:26:41,chimp_chimp1,Rick_H_CA,0,0,0,"Who the fuck cares? They got Parscale fired and are doing a hell of a lot better than Biden's team.",,,,1284630702030561280,https://twitter.com/chimp_chimp1/status/1284630702030561280
2020-07-18 23:24:09,MiddleMolly,sueishere54,0,0,2,"He dropped her the same week 2 things happened: 1.She received a Cease & Desist letter from the horse rescue she defrauded (& was trying to trash by claiming they mistreated animals). 2.The perjury due to her lies about her undergrad degree & her work in Biden's office came out.",,,,1284630066455089157,https://twitter.com/MiddleMolly/status/1284630066455089157
2020-07-18 23:23:36,FineWhiner,bostonradio,0,0,0,"Nope - two things more important. 1. The energy that Biden doesn't. 2. Progressive credentials; turnout is going to be essential and D's can't afford progressives staying home. I've always written her off, though, since that could temporarily give a Dem senate seat to the GOP.",,,,1284629927698944000,https://twitter.com/FineWhiner/status/1284629927698944000
2020-07-18 23:21:10,ygg_studios,,0,0,0,"@BernieSanders Just reinstate your campaign. This is life or death for millions. Biden is dead in the water and Trump has gestapo hit squads promising to roam the streets. A non-shooting political solution is needed.",,@BernieSanders,,1284629316484173829,https://twitter.com/ygg_studios/status/1284629316484173829
2020-07-18 23:21:01,KeithH6910,IngrahamAngle,0,0,0,"That should be Biden’s campaign slogan! #retributionagainstconservatives",,,#retributionagainstconservatives,1284629275715473409,https://twitter.com/KeithH6910/status/1284629275715473409
2020-07-18 23:20:35,pqfuller,,0,0,0,"Normalize voting for Joe Biden",,,,1284629168270049281,https://twitter.com/pqfuller/status/1284629168270049281
2020-07-18 23:20:08,MiddleMolly,Blink_Ensu,1,0,2,"She says she supported Warren also Williamson. She was also estranged from her daughter who was a big Bernie fan. There is speculation that she was trying to get back into the daughter's good graces. Of course, we know she was busy praising Biden to the high heavens until 2018.",,,,1284629052884647936,https://twitter.com/MiddleMolly/status/1284629052884647936
2020-07-18 23:18:54,chimp_chimp1,biden_brigade,0,0,0,"This conversation is a fool's errand. Sally doesn't understand media buys or PACs and is worried more about making sure Steve Schmidt doesn't decide to lose a lucrative MSNBC gig and turn back to the dark side. I'm sorry but that is just silly.",,,,1284628744884367362,https://twitter.com/chimp_chimp1/status/1284628744884367362
