username,sentiment,sentiment
01brit,Positive,100.0
1BlakGal,Negative,100.0
1stieman,Positive,100.0
41stWardCitizen,Positive,100.0
54Ange,Negative,100.0
75xDav,Negative,100.0
ABGray,Negative,50.0
ABGray,Positive,50.0
ACLUofIL,Positive,100.0
AdamBitterman,Positive,100.0
AfrikanLion3,Negative,100.0
AllenaNia,Negative,50.0
AllenaNia,Positive,50.0
AndreaMiklasz,Negative,100.0
Anhalt,Positive,100.0
AnthonyMKreis,Positive,100.0
AshorDeKelaita,Negative,100.0
AudrinaBigos,Negative,100.0
AustinTalks,Negative,100.0
AyeRishPirate,Negative,100.0
AzzadiC,Negative,100.0
BLMChi,Negative,62.5
BLMChi,Positive,37.5
BUSHLOWENDCRAZY,Negative,100.0
BarackOBoogie,Negative,66.66666666666666
BarackOBoogie,Positive,33.33333333333333
Bilalipaup,Negative,100.0
BillBaar,Negative,50.0
BillBaar,Positive,50.0
BluStarSecurity,Positive,66.66666666666666
BluStarSecurity,Negative,33.33333333333333
BreathEazey,Negative,100.0
BrendaWilsonBMW,Positive,75.0
BrendaWilsonBMW,Negative,25.0
BrittanyJLadd,Positive,100.0
Buh_Ran_Dhon,Positive,100.0
CBS2Greg,Negative,66.66666666666666
CBS2Greg,Positive,33.33333333333333
CFDMedia,Negative,100.0
CJZ_Comedy,Negative,100.0
CPD1617Scanner,Negative,66.66666666666666
CPD1617Scanner,Positive,33.33333333333333
CPDKnights,Positive,70.58823529411765
CPDKnights,Negative,29.411764705882355
CarlyTargaryen,Negative,100.0
Carroll46,Negative,50.0
Carroll46,Positive,50.0
CarterHarms,Positive,100.0
CatSratchFever,Positive,100.0
CbPeripatetic,Negative,50.0
CbPeripatetic,Positive,50.0
CherylCdraper44,Positive,100.0
ChiBondFund,Negative,100.0
ChiLatinoCaucus,Positive,100.0
ChicagoCAPS07,Positive,66.66666666666666
ChicagoCAPS07,Negative,33.33333333333333
ChicagoCAPS08,Positive,100.0
ChicagoCAPS09,Positive,90.0
ChicagoCAPS09,Negative,10.0
ChicagoCAPS11,Positive,100.0
ChicagoCAPS12,Positive,100.0
ChicagoCAPS15,Positive,100.0
ChicagoCAPS18,Positive,66.66666666666666
ChicagoCAPS18,Negative,33.33333333333333
ChicagoCAPS20,Positive,100.0
ChicagoCAPS24,Positive,100.0
Chicago_Police,Positive,70.0
Chicago_Police,Negative,30.0
Chiefgainer,Positive,100.0
ChipMitchell1,Negative,100.0
Chitownsista2,Positive,100.0
ChrisFarrNBC5,Negative,100.0
CiprianoMichael,Negative,100.0
ClaudiaGunter1,Positive,100.0
CopwatchCrooked,Positive,100.0
CuasayRudy,Negative,100.0
DGutierreztv,Negative,100.0
Dakarai_Turner,Negative,71.42857142857143
Dakarai_Turner,Positive,28.57142857142857
DanAllen1906,Negative,100.0
DanaCBS2,Positive,100.0
DarrylPye2,Positive,100.0
DarylJf,Positive,100.0
DavidOrmsby,Negative,50.0
DavidOrmsby,Positive,50.0
Demonze1,Negative,50.0
Demonze1,Positive,50.0
DickStreetman,Negative,100.0
Diego4Change,Positive,100.0
Dimitri246,Positive,100.0
DizFoley,Negative,100.0
Donillini,Positive,100.0
DonzLyak,Negative,100.0
DoubleChinner,Negative,100.0
DraftDesigner,Negative,100.0
Drugiefresh,Negative,100.0
EMartinezEdD,Positive,100.0
El_Senor_Cafe,Negative,66.66666666666666
El_Senor_Cafe,Positive,33.33333333333333
EliasCepeda,Positive,100.0
ElizaFawcett,Negative,100.0
ElviaMalagon,Positive,100.0
EmirBeastMode,Positive,100.0
EricBennett2_0,Negative,100.0
EricLabRat,Negative,100.0
Espinoza_Leoni,Negative,50.0
Espinoza_Leoni,Positive,50.0
Est19xxMalik,Negative,50.0
Est19xxMalik,Positive,50.0
ExonerationLaw,Positive,100.0
F3_Denari,Negative,100.0
FarrinCurated,Positive,100.0
FayeKnuze,Positive,100.0
FirstHomeChi,Positive,100.0
Flyer_thanu2,Negative,50.0
Flyer_thanu2,Positive,50.0
GKMC18,Negative,57.14285714285714
GKMC18,Positive,42.857142857142854
GROIDS2235,Positive,66.66666666666666
GROIDS2235,Negative,33.33333333333333
GallardoABC7,Negative,100.0
GastonCedricN,Negative,100.0
GinoJRocco,Positive,100.0
GlennLeonard20,Negative,100.0
GrassrootsChi,Negative,100.0
GreenEggsNSamm,Negative,100.0
GregPapas3,Negative,100.0
GwendolynWeath5,Negative,100.0
HaikuFest,Negative,50.0
HaikuFest,Positive,50.0
HaitianNai,Positive,100.0
HeartInTheMusic,Negative,50.0
HeartInTheMusic,Positive,50.0
HotAsHelen_,Positive,100.0
IITPublicSafety,Negative,100.0
IndivChi_South,Positive,66.66666666666666
IndivChi_South,Negative,33.33333333333333
IsaacMWaddell,Negative,100.0
JAE_Bass,Positive,100.0
JCB_Journo,Negative,100.0
JCUA_News,Negative,100.0
JHollins,Negative,50.0
JHollins,Positive,50.0
JaredBahena4,Negative,100.0
JavMcCall,Negative,100.0
JayCeeEm,Negative,100.0
JayeHobart,Positive,100.0
JeremyAdamRoss,Positive,100.0
JeremyHolleb,Positive,100.0
JesseKirschABC7,Negative,66.66666666666666
JesseKirschABC7,Positive,33.33333333333333
JessicaVillag,Negative,100.0
JoanieLum,Positive,53.84615384615385
JoanieLum,Negative,46.15384615384615
Joelabrodsky,Negative,100.0
JohnAmdor,Positive,100.0
JosephGKogutJr,Positive,100.0
JoshuaEHamlett,Positive,100.0
JoyceFdn,Positive,100.0
Jstallings43,Negative,100.0
KJr8dio,Negative,50.0
KJr8dio,Positive,50.0
KdotKarter,Positive,100.0
KeithHarris312,Negative,100.0
Kelley_Bowles1,Negative,50.0
Kelley_Bowles1,Positive,50.0
Kjkeyez,Negative,100.0
KofiAdemola,Negative,60.0
KofiAdemola,Positive,40.0
Kresse,Positive,100.0
KrollsSouthLoop,Positive,100.0
Kymi917,Positive,100.0
LaBeautyMaker,Positive,100.0
LandanTwin,Positive,100.0
Lanursa1,Positive,100.0
LarrySmit,Negative,100.0
Lemon24_2x,Negative,100.0
LexiSutterTV,Negative,100.0
LisaChavarria,Negative,62.5
LisaChavarria,Positive,37.5
Lo_Leada,Negative,100.0
LuisRAgostini,Positive,66.66666666666666
LuisRAgostini,Negative,33.33333333333333
LulaEDUcate,Positive,100.0
MIKEC0202,Negative,100.0
M_Staaacks,Positive,100.0
MacArthrJustice,Positive,100.0
