date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2019-12-31 23:49:49,Donillini,FriggJohn,3,0,0,"You do realize that the CPD has one of the best union contracts in the country?",,,,1212158953053937666,https://twitter.com/Donillini/status/1212158953053937666
2019-12-30 22:40:10,dkillaa_,,0,0,0,"CPD dirty asl",,,,1211779036726337536,https://twitter.com/dkillaa_/status/1211779036726337536
2019-12-30 00:55:20,JaredBahena4,,0,0,0,"It sure is the end of the month Bcz all these cops are on it tryi g o get their quotas Fuck CPD",,,,1211450662552244229,https://twitter.com/JaredBahena4/status/1211450662552244229
2019-12-29 04:01:44,miriamcb,GKMC18,0,0,0,"I don't even know in what world this is a cpd call. Insane.",,,,1211135183648370688,https://twitter.com/miriamcb/status/1211135183648370688
2019-12-28 21:12:29,CPDKnights,,0,0,5,"Knights can’t wait for baseball to get here! CPD Knights will be competing in the Midwest Suburban League in 2020! The MSL is the largest men’s baseball league in the United States! #msl #cpdknights #ringsin20 #knightsbaseball",,,#msl #cpdknights #ringsin20 #knightsbaseball,1211032195642593281,https://twitter.com/CPDKnights/status/1211032195642593281
2019-12-27 05:28:19,NatalieMNBC,,1,0,2,"Indiana Man Arrested at O’Hare, Charged With Sexually Assaulting Teen: CPD ",,,,1210432199604002817,https://twitter.com/NatalieMNBC/status/1210432199604002817
2019-12-26 20:08:52,UncannyAriel,chicagosmayor,0,0,4,"#OurChiStory for the hundreds of Black and brown people who've been disappeared by CPD and whose families continue to suffer. ",,,#OurChiStory,1210291407895900162,https://twitter.com/UncannyAriel/status/1210291407895900162
2019-12-26 20:00:55,UncannyAriel,chicagosmayor,0,2,3,"#OurChiStory for everyone that was killed by CPD this year that @chicagosmayor has yet to acknowledge.",,@chicagosmayor,#OurChiStory,1210289407070232581,https://twitter.com/UncannyAriel/status/1210289407070232581
2019-12-26 16:05:54,UncannyAriel,,0,3,3,"#OurChiStory goes to the mothers and guardians whose children were snatched from them by the hands of CPD officers and city officials who let them do it and continue to let them do it because apparently, fuck Black and brown lives right @chicagosmayor",,@chicagosmayor,#OurChiStory,1210230263684509700,https://twitter.com/UncannyAriel/status/1210230263684509700
2019-12-26 16:04:10,UncannyAriel,,0,11,28,"#OurChiStory should go to the survivors of CPD torture who, even after brutal torture by the people sworn to protect us, and the cover up of their atrocities by city officials, have continued to fight not only for themselves but for all survivors.",,,#OurChiStory,1210229825434206213,https://twitter.com/UncannyAriel/status/1210229825434206213
2019-12-24 14:27:00,sryogijet47,,0,0,0,"This why I fooking hate cops. This cop taking to my co worker how she got the streets change around here area of business. FTP FOOK THE COPS FOOK CPD. corrupt ass pig.",,,,1209480599590899712,https://twitter.com/sryogijet47/status/1209480599590899712
2019-12-24 00:42:14,MrBrandonIson,,0,3,5,"The blue lights are flashing in Englewood at 57th and May as CPD officers greet residents in the neighborhood where they work, a day after 13 were shot during a memorial for a young man shot and killed while committing a crime in April. @WBBMNewsradio",,@WBBMNewsradio,,1209273040506212352,https://twitter.com/MrBrandonIson/status/1209273040506212352
