username,sentiment,sentiment
189Ceecee,Negative,100.0
1ChicagoDave,Negative,100.0
361336rigs,Negative,100.0
48thNeighbors,Negative,100.0
83mmlinz,Negative,100.0
ActorRGlover,Positive,100.0
Addicted2Poli,Positive,100.0
AleaHuggins,Positive,100.0
Alex_John_7,Negative,100.0
AlphaBrock,Negative,100.0
AngieBoBandi,Negative,100.0
AnnWineKork,Negative,100.0
ArchieFrmQueens,Negative,100.0
AustinJamesMink,Positive,100.0
BHenbo,Positive,100.0
BROWNnORAN6E,Negative,100.0
BRWNWORLD,Positive,100.0
B_C2323,Negative,100.0
BaburRealer,Negative,50.0
BaburRealer,Positive,50.0
BallsBradley,Negative,100.0
BeamSplashX,Positive,100.0
BeanmealBrandon,Negative,100.0
BeastofBurdon,Negative,100.0
BeatlesFanDeb,Positive,100.0
BeauRocMane,Positive,100.0
Ben08605112,Negative,100.0
BenBergg,Negative,100.0
BigTreeTen,Negative,100.0
BillysBOS,Negative,100.0
BireshT,Negative,100.0
Bluebane,Negative,100.0
Bobbeyonce_,Negative,100.0
BoboChimpan,Positive,75.0
BoboChimpan,Negative,25.0
BrookeAshley923,Negative,100.0
CAARPRNow,Negative,50.0
CAARPRNow,Positive,50.0
CBohnSucceed,Negative,100.0
CHIRPJennyWest,Negative,100.0
CMYKarate,Negative,100.0
CNshooter,Negative,100.0
CO32minus,Negative,100.0
Caramelgal21,Negative,100.0
CarlyBallerini,Negative,100.0
CarminRosado,Negative,100.0
Cedspazzin,Negative,100.0
Celia94608757,Negative,100.0
CharBacon,Negative,100.0
CheerUpXmas,Negative,100.0
CherMarlee,Negative,100.0
ChiNeoliberal,Positive,100.0
ChiTownCheese,Positive,100.0
ChicagoKennedy,Positive,100.0
ChicagoSelfTape,Negative,100.0
Chicagodecks,Negative,100.0
ChrisSu84750791,Negative,100.0
Chrissy_Gargano,Negative,100.0
ClarkFoster8,Negative,100.0
CocaineKickz,Negative,100.0
CommsUnited,Negative,100.0
Conundrum86,Negative,100.0
CrayonCanyon,Negative,100.0
CrownedGodzilla,Negative,100.0
DLAlberts,Negative,100.0
DLNANGLE,Negative,100.0
DarlingVonna,Negative,100.0
DaveWCronin,Positive,100.0
DavefromTR1,Negative,100.0
DavidFromChiraq,Positive,100.0
DawnWhi35516140,Negative,100.0
DeenoThaGreat,Negative,100.0
Defund_CPD,Positive,90.9090909090909
Defund_CPD,Negative,9.090909090909092
DenverNikki,Positive,100.0
DeplorableSpawn,Negative,100.0
DewsSox79,Positive,100.0
Dnt_k1llmi_vibE,Positive,62.5
Dnt_k1llmi_vibE,Negative,37.5
Don_NSX,Positive,100.0
DonkeyPunchINFO,Negative,75.0
DonkeyPunchINFO,Positive,25.0
DrCira,Positive,100.0
DrNikkiMartinez,Negative,100.0
DyraBanks,Negative,100.0
EarlyReport,Positive,100.0
EddyieCruz,Positive,100.0
EdwardARowe1,Positive,100.0
Edzila,Negative,100.0
Ekoliii,Negative,100.0
Esalo304,Negative,100.0
Esiliezar,Negative,100.0
EstherRoseBloom,Negative,100.0
FF_Ryan,Positive,100.0
FreeBearly,Negative,100.0
Fullarr,Negative,100.0
GetAwayFromU,Negative,100.0
Glen_Bobo,Positive,100.0
GloriaYorke,Positive,100.0
Gmas312,Negative,100.0
GriftRespecter,Negative,100.0
GryphonsRAWK,Negative,100.0
HOTAZZ_MESS,Negative,100.0
Hawks10880737,Negative,100.0
Hellotherexu,Negative,100.0
HerChiBlues,Negative,100.0
HouseReligion99,Negative,100.0
IIRONINTHEFIRE,Positive,100.0
IllinoisMp,Negative,100.0
IllinoisanMale,Negative,100.0
ImJustMe1979,Negative,100.0
ImmobileNoble,Negative,100.0
IolaElla,Negative,100.0
IrishBenny57,Negative,100.0
IsaacPerry,Negative,100.0
ItIsClit,Positive,100.0
Itss_Jazsy,Positive,100.0
JCB_Journo,Negative,100.0
JCUA_News,Negative,100.0
JDawgg56,Negative,66.66666666666666
JDawgg56,Positive,33.33333333333333
JackQuinones4,Negative,100.0
JacksonJennings,Negative,100.0
JacobOller,Negative,100.0
JamesGierach,Positive,100.0
JamieGump,Positive,100.0
JamieMacD75,Negative,100.0
JasTwister,Negative,100.0
Jayden_Victor22,Negative,100.0
JazzyEBerry,Negative,100.0
JeddWest,Negative,100.0
JermontTerry,Negative,50.0
JermontTerry,Positive,50.0
Jerome_Daily,Negative,100.0
JonDeBona,Positive,100.0
JorgeGuapo22,Negative,100.0
JoshDaJacc,Positive,100.0
JudgeMilkman,Negative,100.0
JuliaAyeee,Negative,100.0
K9sforVeterans,Negative,100.0
KDuffChicago,Negative,100.0
KJUBrvt,Negative,100.0
KJulius10,Negative,100.0
KateJakubas,Negative,100.0
KayKay_7053,Negative,100.0
KemetNayati,Negative,100.0
KentLawNLG,Negative,100.0
KipKipkruse880,Negative,100.0
KittyHostility,Negative,100.0
Kwaselow,Negative,100.0
LOUSDAD2000,Positive,100.0
LamonManuelFCLA,Negative,100.0
LangmanVince,Negative,100.0
LeBonTravel,Positive,66.66666666666666
LeBonTravel,Negative,33.33333333333333
LilyLulu,Negative,100.0
LindseyRichter,Negative,100.0
LockLoadSecure,Negative,100.0
LordStanTheSlam,Negative,100.0
LoveandMusakk,Negative,100.0
LumosNox421,Positive,100.0
MKernel85,Positive,100.0
MPeriod,Negative,100.0
Machine5The,Negative,100.0
MadProphet23,Positive,100.0
Magaly____,Negative,100.0
ManchegoFlambe1,Negative,100.0
MarieFlemings,Negative,100.0
MariiahCarlos,Negative,100.0
MarkPMagoon,Negative,100.0
MartzDan,Negative,100.0
MatthewBorus,Negative,100.0
McNiffed,Negative,100.0
MegAndBubba,Negative,100.0
MeierEyeYam,Negative,100.0
MeredithWathne,Negative,100.0
MicahLC,Negative,100.0
MichaelDeChant,Negative,100.0
MikeReegs,Negative,100.0
MikeShamrock1,Positive,100.0
Mikellangelo_,Negative,100.0
Misanthrologue,Negative,100.0
Montanablowhard,Negative,100.0
MrDoza1,Negative,100.0
MrFengi,Positive,100.0
MrJesusJMontero,Negative,100.0
MrOnOurOwn,Negative,100.0
MsGoody2Shoes33,Negative,100.0
Ms_ShanahB,Negative,100.0
NYmork,Negative,100.0
NassirFaulkner,Negative,100.0
NeffeHeart,Positive,100.0
NickBoyle99,Negative,100.0
NicoTheLyricist,Negative,100.0
NomanchezGuey,Negative,100.0
OOOLULLLU,Positive,100.0
OPCGhost,Negative,100.0
OnTapeWithJohn,Positive,75.0
OnTapeWithJohn,Negative,25.0
OpinionsAreGood,Negative,100.0
OwenWarland,Positive,100.0
PeterLaBarbera,Positive,100.0
Petty_Explorer,Negative,100.0
R0cky_T0p,Negative,100.0
R88D8,Negative,100.0
RM_Trev,Negative,100.0
RSepeta,Negative,100.0
Rabies93,Negative,100.0
RannBecca,Negative,100.0
Rdafforn,Negative,100.0
ReeshaHasha,Negative,100.0
ReignbowFlexx,Negative,100.0
RepChuyGarcia,Negative,100.0
RexHuppke,Positive,100.0
RobertK36024102,Positive,100.0
Roonie_Bear,Positive,100.0
Ryan98707238,Negative,100.0
SAWspeaks,Negative,100.0
SMKnudsen,Positive,100.0
SOULInChicago,Positive,100.0
Saint_Joseph0,Positive,100.0
SaintofSnark,Positive,51.724137931034484
SaintofSnark,Negative,48.275862068965516
SamiJ1042,Negative,100.0
Scarvis,Negative,55.55555555555556
Scarvis,Positive,44.44444444444444
ScottRichard84,Negative,100.0
SeanSeanX1,Positive,100.0
SecureYouToday,Positive,100.0
Shachicago37,Positive,100.0
Shaundric,Positive,100.0
ShericeStylist,Positive,100.0
Shivani1315,Negative,100.0
Simoveeeee,Positive,100.0
SkyFairlane,Negative,100.0
Smallschools,Negative,100.0
SniperGangKeee,Negative,100.0
SourceDuMal,Negative,100.0
Sri_Philips,Negative,100.0
StefMcNeely,Negative,100.0
StiglerCenter,Positive,100.0
Stothedge,Negative,100.0
SuNadeau,Negative,100.0
SuchAGoodman,Positive,100.0
SuffyBummers,Positive,100.0
SunriseMvmtChi,Positive,100.0
Suzyw27936136,Negative,100.0
T1TANZ_,Negative,100.0
TJBlissen,Positive,100.0
ThatManKevo,Negative,50.0
ThatManKevo,Positive,50.0
ThatsJacqueline,Negative,100.0
TheJosh_H,Negative,100.0
TheRISEofROD,Negative,100.0
TheRealMKP357,Positive,100.0
TheShanaEast,Positive,75.0
TheShanaEast,Negative,25.0
Thegillman69,Negative,100.0
Theo67966944,Negative,100.0
Theprofessor102,Negative,100.0
ThisIsMJWrobel,Positive,100.0
ThisisSterling,Positive,100.0
TomMcGill2165,Positive,100.0
Towny_7,Negative,100.0
TradefinalotFin,Negative,50.0
TradefinalotFin,Positive,50.0
TyroneW79180291,Negative,100.0
UKbornin1971,Negative,100.0
UgoOkere,Positive,100.0
Unit1127,Negative,100.0
WinnersWontLose,Negative,100.0
WoodsonTJames,Negative,100.0
Xenialshot,Negative,100.0
YankTown,Positive,100.0
YesThatMGibson,Negative,100.0
YuiLNamiki,Positive,100.0
ZeexB,Negative,100.0
ZindyMarquez,Negative,100.0
_LaVicko,Negative,100.0
_SincerelyAshB,Negative,100.0
_foreverJORs,Negative,100.0
_gallagherlb,Negative,100.0
_kechimusic1,Negative,50.0
_kechimusic1,Positive,50.0
_mikemullaney_,Positive,100.0
_randuhl,Negative,100.0
aarond,Negative,100.0
abbeyyjohnsonn,Positive,100.0
abeycerva,Negative,100.0
adamkotsko,Negative,100.0
afrolutheran,Negative,100.0
ajdeluxe_,Positive,100.0
al_petrocelli,Positive,100.0
alainadulecki,Negative,50.0
alainadulecki,Positive,50.0
aleams,Negative,100.0
algoman2020,Negative,100.0
alleygorey,Negative,100.0
amrizzo28,Negative,100.0
andrew_n_perez,Negative,100.0
angry_hoe,Negative,100.0
annadaniellefox,Negative,100.0
apat10,Negative,100.0
aqueerwolf,Negative,100.0
arcadefriar,Negative,100.0
atoms4peace,Negative,100.0
bestlotionsdeal,Negative,100.0
birdpoems,Negative,100.0
bobbie_digital1,Negative,100.0
bobvail,Positive,66.66666666666666
bobvail,Negative,33.33333333333333
boxsquat,Negative,80.0
boxsquat,Positive,20.0
boyce_hudson,Positive,100.0
brandonhoeg,Negative,100.0
brandonnadig,Positive,85.71428571428571
brandonnadig,Negative,14.285714285714285
brdavids,Negative,100.0
briebxrries,Negative,100.0
bsniz,Positive,100.0
btoch,Positive,63.1578947368421
btoch,Negative,36.84210526315789
bullystyle311,Negative,100.0
capablyculpable,Negative,100.0
captainashx,Negative,100.0
cathlynmelvin,Negative,100.0
chasbedard,Negative,100.0
chefkumquat,Negative,100.0
chloe_mikala,Positive,100.0
chris34b1,Positive,100.0
chuck_adams,Negative,100.0
clearlybentley,Negative,100.0
climbcatclasp,Negative,100.0
coachmooktv,Negative,100.0
cocodotts,Positive,100.0
coreyjahmil,Negative,100.0
dada_issues,Negative,100.0
danielkyri,Negative,100.0
danushman,Negative,100.0
darealjeansmith,Negative,100.0
datagenius,Positive,100.0
daurbanconsumer,Negative,100.0
davidwindycity,Negative,100.0
dayshasourcepr,Negative,52.94117647058824
dayshasourcepr,Positive,47.05882352941176
death_nerd,Negative,100.0
deberry2040,Negative,100.0
delvecchiograce,Negative,100.0
devlyncamp,Negative,100.0
ditkationary,Negative,100.0
donnie_biggins,Negative,100.0
douchefuturist,Negative,100.0
dreavibedealer,Negative,100.0
dudadius,Negative,100.0
ecrabtreenelson,Negative,100.0
eggsonmyfeet,Negative,100.0
ehandsman,Negative,100.0
elirothman,Negative,100.0
elon_omar,Negative,100.0
emily_is_angry,Negative,100.0
emmapetit1,Negative,100.0
emoc814,Positive,100.0
ericxunzhang,Negative,100.0
etellez0,Negative,100.0
ethanlawrence04,Negative,100.0
evansather,Positive,100.0
exavierpope,Negative,100.0
fb_illini,Negative,100.0
feamster,Negative,100.0
freegypsyrose,Positive,100.0
frso_chicago,Positive,100.0
gay_disco,Negative,100.0
geefto77,Negative,100.0
goldenflow_,Positive,100.0
