date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink,sentiment
2020-07-18 23:59:05,wtrebella,,0,3,14,"Defund the police AND tear down racist symbols AND protest AND vote. None of these are either or, nor should they be.",,,,1284638857766547456,https://twitter.com/wtrebella/status/1284638857766547456,Negative
2020-07-18 23:58:11,MarieFlemings,chicagosmayor,1,0,0,"Please stop saying defund the police, we are letting them take a civil rights narrative of police brutality &amp; murder against black people away from us.This country needs law &amp; order, but equal to all citizens.There is a way to deal with a defunct city police dept &amp; justice system",,,,1284638630879862791,https://twitter.com/MarieFlemings/status/1284638630879862791,Negative
2020-07-18 23:57:34,okaychicago,,0,1,0,Mun Choi raised tuition during a pandemic,,,,1284638472884703236,https://twitter.com/okaychicago/status/1284638472884703236,Positive
2020-07-18 23:55:02,jordannachicago,,1,0,0,I give it 100 years maybe,,,,1284637837275668485,https://twitter.com/jordannachicago/status/1284637837275668485,Positive
2020-07-18 23:52:38,ri_iver,,0,0,0,"@chicagosmayor it’s a great day to apologize for sending cops to beat protestors, drop all charges against protestors, remove the statue of C*lumbus, and defund the police.",,@chicagosmayor,,1284637232247300098,https://twitter.com/ri_iver/status/1284637232247300098,Positive
2020-07-18 23:52:12,jordannachicago,,1,0,5,Watching Snowpiercer for the first time oh my god..............this doesn’t even seem that unrealistic........ ,,,,1284637123996508161,https://twitter.com/jordannachicago/status/1284637123996508161,Negative
2020-07-18 23:46:40,ThatsJacqueline,,0,4,10,Any questions? Let's defund the police and fund the people. Pass it on #DefundThePoliceFundthePeople,,,#DefundThePoliceFundthePeople,1284635730791346176,https://twitter.com/ThatsJacqueline/status/1284635730791346176,Negative
2020-07-18 23:42:54,Dnt_k1llmi_vibE,,0,0,0,@JacksunShane Go with me to this thing tonight just in case it gets weird so we can ditch together!!!,,@JacksunShane,,1284634783365169152,https://twitter.com/Dnt_k1llmi_vibE/status/1284634783365169152,Positive
2020-07-18 23:40:28,Dnt_k1llmi_vibE,,1,0,0,"Ummm, I just go invited to and underground rave on Tinder and im fucking IN THERE !!!",,,,1284634171441324032,https://twitter.com/Dnt_k1llmi_vibE/status/1284634171441324032,Negative
2020-07-18 23:31:52,hillda70,realDonaldTrump,0,0,0,let supply and demand solve the opioid crisis not cdc regulations shift the supply curve instead of staying on it. econ 101. defund the drug markets,,,,1284632006500978688,https://twitter.com/hillda70/status/1284632006500978688,Positive
2020-07-18 23:26:54,JamieMacD75,GOPChairwoman,0,0,0,"That's funny because when we said defund the police, you said it meant to get rid of the police. Which is it?",,,,1284630756984262656,https://twitter.com/JamieMacD75/status/1284630756984262656,Negative
2020-07-18 23:22:20,ChrisSu84750791,Hello_Reason,0,0,0,And these thugs want to DEFUND the police huh? FKU! #REFUNDTHEPOLICE #BACKTHEBLUE ##BACKOURMILITARY Send in the National Guard!!! #Trump2020Landslide #MAGA2020 #KAG2020,,,#REFUNDTHEPOLICE #BACKTHEBLUE #BACKOURMILITARY #Trump2020Landslide #MAGA2020 #KAG2020,1284629606272839683,https://twitter.com/ChrisSu84750791/status/1284629606272839683,Negative
2020-07-18 23:17:59,LilyLulu,,0,0,4,I am angry at @chicagosmayor 24/7. STOP protecting the police dept. DEFUND them and support CPAC NOW!!! Why are you ignoring your citizens and taxpayers CONSISTENTLY? I know you hear us Lori! More cops and more money for cops won’t make us safer!!,,@chicagosmayor,,1284628515325960199,https://twitter.com/LilyLulu/status/1284628515325960199,Negative
2020-07-18 23:08:19,gretelisabeth,shook_yt,0,0,0,WHAT!!!!!,,,,1284626080817729541,https://twitter.com/gretelisabeth/status/1284626080817729541,Positive
2020-07-18 23:06:50,vfombelle,,0,0,0,"When the ultimate goal for many (myself included) is to defund the police, supporting the Civilian Police Accountability Council is LITERALLY the least @michelesmith43 can do. Please sign and share if you're part of Ward 43!",,@michelesmith43,,1284625706807369730,https://twitter.com/vfombelle/status/1284625706807369730,Positive
2020-07-18 23:06:38,JDawgg56,simeon_emma,0,0,6,Have you been sniffing lead??? MJ had folks giving standing ovations just for standing. Just say you love Chris Brown and run along,,,,1284625658019287041,https://twitter.com/JDawgg56/status/1284625658019287041,Negative
2020-07-18 23:02:21,joshyjohnson,,0,0,11,ugh i finally did it. i have a “defund cpd” highlighted story on my profile,,,,1284624581144317952,https://twitter.com/joshyjohnson/status/1284624581144317952,Negative
2020-07-18 22:50:47,BeatlesFanDeb,HillBeverlyhill,0,0,1,Defund the tRumps.,,,,1284621668128890886,https://twitter.com/BeatlesFanDeb/status/1284621668128890886,Positive
2020-07-18 22:48:45,elirothman,mattyglesias,1,0,4,Spoken like someone who never watched the show. Det Munch is unquestionably campaigning to defund the police while wearing the badge.,,,,1284621156578975744,https://twitter.com/elirothman/status/1284621156578975744,Negative
2020-07-18 22:46:46,BireshT,realDonaldTrump,0,0,0,"Corrupt #TraitorInChief and @GOP want to defund the schools, cities and states unless they kneel to his administration. This is America. The draft dodging russian loving SAT cheating POS wi not break America. #DumbDonald #PutinsGOP #TraitorTrump @ProjectLincoln @JoeBiden",,@GOP @ProjectLincoln @JoeBiden,#TraitorInChief #DumbDonald #PutinsGOP #TraitorTrump,1284620656244645889,https://twitter.com/BireshT/status/1284620656244645889,Negative
2020-07-18 22:39:13,R0cky_T0p,ProjectLincoln,0,0,0,“Biden wants to defund greens.” “If you put Biden in office this is what you’ll have to putt through on every hole”,,,,1284618755377713154,https://twitter.com/R0cky_T0p/status/1284618755377713154,Negative
2020-07-18 22:38:15,evansather,,0,0,0,"If @chicagosmayor is not going to defund the police, then can we at least change how they conduct themselves with their already large budget? Such as firing and replacing all the racist and/or unnecessarily violent cops? We deserve change for the better in all of our city.",,@chicagosmayor,,1284618514071003136,https://twitter.com/evansather/status/1284618514071003136,Positive
2020-07-18 22:36:12,chloe_mikala,chicagosmayor,0,0,0,CANNOT WAIT TO VOTE YOUR COP LOVING ASS OUT OF FUCKING OFFICE! U refuse to hold cops accountable for ANYTHING. U refuse to defund the police. U are no different than those in power who allowed cops to beat up Civil Rights Activists like John Lewis. Ur on the wrong side of history,,,,1284617997999575043,https://twitter.com/chloe_mikala/status/1284617997999575043,Positive
2020-07-18 22:29:42,SAWspeaks,hellogines,1,0,1,Is she saying “defund” or “refund”?,,,,1284616361881337862,https://twitter.com/SAWspeaks/status/1284616361881337862,Negative
2020-07-18 22:18:53,SkyFairlane,radfagg,3,0,2,"Lightfoot is gay, lives in a mostly gay part of town and is African American. All of that to say, SHE IS IN TOUCH! Ok? I don’t want to defund the rotten police. I want to DISARM them and so do many gay, Blacks, and young people. And I am a young African American Chicagoan.",,,,1284613641149521927,https://twitter.com/SkyFairlane/status/1284613641149521927,Negative
2020-07-18 22:03:06,Chrissy_Gargano,,0,0,0,"@chicagosmayor @LoriLightfoot defund the police, and remove the Columbus statue! You’re failing your city and history will not look kind on you if you keep this up.",,@chicagosmayor @LoriLightfoot,,1284609669495959552,https://twitter.com/Chrissy_Gargano/status/1284609669495959552,Negative
2020-07-18 22:02:47,sarahalter7,,0,0,0,@chicagosmayor remove the statue of Columbus &amp; DEFUND CPD,,@chicagosmayor,,1284609589065977856,https://twitter.com/sarahalter7/status/1284609589065977856,Negative
2020-07-18 21:56:28,gretelisabeth,knockoffthot,1,0,4,I can’t believe some people bought zoom university merch,,,,1284607998221066240,https://twitter.com/gretelisabeth/status/1284607998221066240,Negative
2020-07-18 21:56:16,jordannachicago,,0,0,4,Fucking mood,,,,1284607947360874496,https://twitter.com/jordannachicago/status/1284607947360874496,Negative
2020-07-18 21:47:26,JDawgg56,robotfoxxx,0,0,0,Not yet but I’m gonna get on it,,,,1284605726363615233,https://twitter.com/JDawgg56/status/1284605726363615233,Negative
2020-07-18 21:45:41,IllinoisMp,PhyllisNetzer,0,0,0,You’re so fcking wrong. There is a video of him saying he would defund them. You’re FCKED if you think Chris Wallace was correct,,,,1284605285060026368,https://twitter.com/IllinoisMp/status/1284605285060026368,Negative
2020-07-18 21:44:39,okaychicago,Fuckminster,0,0,0,The chauvinist 4th of July / highway balad that’s like “I’m gonna stand up to kill some Muslims in the land that makes me free” or whatever,,,,1284605026388893696,https://twitter.com/okaychicago/status/1284605026388893696,Negative
2020-07-18 21:42:34,TheRealMKP357,LilRichie420,1,1,1,Sure. Biden adopted Bernie Sanders social plan on law enforcement. It says Defund current law enforcement. Chris Wallace soiled his panties on this one.,,,,1284604500360278018,https://twitter.com/TheRealMKP357/status/1284604500360278018,Positive
2020-07-18 21:40:11,heyjoshhaines,heyjoshhaines,1,0,0,She absolutely refuses to defund the CPD. She gave the order to raise the bridges during the first protests. She ok'd officers turning off their body cams. She's scum.,,,,1284603900058898439,https://twitter.com/heyjoshhaines/status/1284603900058898439,Positive
2020-07-18 21:36:23,boxsquat,,0,1,3,I recommend telling your worst fears to someone you love and trust.,,,,1284602943027785730,https://twitter.com/boxsquat/status/1284602943027785730,Negative
2020-07-18 21:32:14,realyobanicruz,ChiefDavidBrown,1,0,11,Thank you we don’t want to defund police! We don’t want to replace police w community antifa members! We demand strong police force! But a good police force!,,,,1284601901883981824,https://twitter.com/realyobanicruz/status/1284601901883981824,Positive
2020-07-18 21:30:24,boxsquat,ChiefDavidBrown,0,0,1,And the only way to uphold the law is to bash faces in?? Gas people? Please use your training.,,,,1284601438895833088,https://twitter.com/boxsquat/status/1284601438895833088,Negative
2020-07-18 21:25:25,dada_issues,,0,0,0,"@chicagosmayor columbus was a disgusting colonizer and racist. the police are disgusting racists who uphold colonialism. defund cpd and remove the columbus statue, now.",,@chicagosmayor,,1284600184333307905,https://twitter.com/dada_issues/status/1284600184333307905,Negative
2020-07-18 21:24:48,nackoball,erikstrobl,1,0,2,"""Transformation"" = ""eating bread like a normal person""",,,,1284600029320228867,https://twitter.com/nackoball/status/1284600029320228867,Negative
2020-07-18 21:21:44,danushman,,2,0,4,Defund Boat Police!,,,,1284599258415607808,https://twitter.com/danushman/status/1284599258415607808,Negative
2020-07-18 21:21:10,UKbornin1971,CNN,0,0,1,Defund the POLICE ,,,,1284599116190932992,https://twitter.com/UKbornin1971/status/1284599116190932992,Negative
2020-07-18 21:18:48,jannabelle66,AttorneyCrump,0,0,0,"Six men place their body weight on another man’s body and then say, “stop resisting!” #defund",,,#defund,1284598521933561856,https://twitter.com/jannabelle66/status/1284598521933561856,Positive
2020-07-18 21:16:25,FreeBearly,fox32news,0,0,0,The only way to combat this epidemic of violence is to defund the police.,,,,1284597920914984960,https://twitter.com/FreeBearly/status/1284597920914984960,Negative
2020-07-18 21:15:21,JDawgg56,robotfoxxx,1,0,0,Yeah you gotta rent it on amazon or VOD,,,,1284597651003105281,https://twitter.com/JDawgg56/status/1284597651003105281,Negative
2020-07-18 21:11:25,joshyjohnson,,0,0,11,maybe if lori.....was so concerned about police misconduct...happening all the time.....she would choose to defund them.??? just a little ??,,,,1284596662170718215,https://twitter.com/joshyjohnson/status/1284596662170718215,Negative
2020-07-18 21:07:47,nackoball,KenzoShibata,0,0,1,Stop subtweeting me.,,,,1284595748584259584,https://twitter.com/nackoball/status/1284595748584259584,Negative
2020-07-18 21:02:14,iffylube,,0,0,2,what’s the point in drinking water if i’m just gonna lose hydration drooling over alex all day?,,,,1284594350035525635,https://twitter.com/iffylube/status/1284594350035525635,Negative
2020-07-18 21:00:21,jordannachicago,bahannahcupcake,0,0,1,Omfg why did (do) I love it,,,,1284593877530357760,https://twitter.com/jordannachicago/status/1284593877530357760,Negative
2020-07-18 20:58:18,douchefuturist,radfagg,0,0,3,"We're also supposed to believe she hasn't looked around the neighborhood. I'm two blocks away from her and have seen ""Defund the Police"" signs.",,,,1284593359881994240,https://twitter.com/douchefuturist/status/1284593359881994240,Negative
2020-07-18 20:56:53,LangmanVince,,7,92,104,Joe biden wants to Defund the police. Pass it on,,,,1284593002590154754,https://twitter.com/LangmanVince/status/1284593002590154754,Negative
2020-07-18 20:54:13,lesismorelie,GKMC18,0,0,1,defund the police #defundCPD,,,#defundCPD,1284592334991011840,https://twitter.com/lesismorelie/status/1284592334991011840,Negative
2020-07-18 20:50:31,darealjeansmith,,1,9,13,"Fuck 12 . Defund the police . I’m tired of them playing the feel sorry for me card . But when there was no protest , they be drinking and driving etc just acting like the law don’t apply to them foh.",,,,1284591402375090177,https://twitter.com/darealjeansmith/status/1284591402375090177,Negative
2020-07-18 20:49:54,btoch,,0,0,0,The intersection of cat and raccoon TikTok is where I live now,,,,1284591247043301384,https://twitter.com/btoch/status/1284591247043301384,Negative
2020-07-18 20:47:31,himissjulie,ChiPubSchools,0,1,2,"Your police force knocked her teeth out, @LoriLightfoot . What are you going to do about it?",,@LoriLightfoot,,1284590646192492550,https://twitter.com/himissjulie/status/1284590646192492550,Negative
2020-07-18 20:43:53,himissjulie,QueenOfRats,0,0,2,Absolute truth.,,,,1284589733876772865,https://twitter.com/himissjulie/status/1284589733876772865,Positive
2020-07-18 20:42:44,btoch,,1,0,0,TikTok is all about carefully curating your fyp as you travel through certain identity groups and interests until you find your way to the promised land: Raccoon TikTok,,,,1284589443094122501,https://twitter.com/btoch/status/1284589443094122501,Positive
2020-07-18 20:41:50,BRWNWORLD,,0,0,1,yeah lets defund private institutions owned by wealthy shareholders to own the libs,,,,1284589218262589442,https://twitter.com/BRWNWORLD/status/1284589218262589442,Positive
2020-07-18 20:33:14,Shachicago37,twosmiles5,5,0,3,If I did my job like CBD does their job I would expect way more. Those assholes deserve everything they got. Chicago please are the most violent gang in Chicago. Defund the police. #BLACK_LIVES_MATTER,,,#BLACK_LIVES_MATTER,1284587052638576644,https://twitter.com/Shachicago37/status/1284587052638576644,Positive
2020-07-18 20:30:00,Shachicago37,GILALEX01,0,0,0,The officers are the trash. Chicago Police Department is the biggest gang in Chicago. Defund CPD.,,,,1284586239107137536,https://twitter.com/Shachicago37/status/1284586239107137536,Positive
