username,sentiment,sentiment
1212D33P,Negative,100.0
1962Excalibur,Negative,55.55555555555556
1962Excalibur,Positive,44.44444444444444
1JoshGreenberg,Positive,100.0
1_9DethsHead8_4,Negative,100.0
313phoenixT,Negative,100.0
361336rigs,Positive,100.0
AJBCSurveys,Positive,100.0
ALBundy1948,Negative,100.0
ASoberIrishMick,Negative,100.0
AWall902,Positive,100.0
AbeRevere,Negative,60.0
AbeRevere,Positive,40.0
ActonBell12,Positive,100.0
AdaminChicago,Negative,100.0
AdonisofChicago,Negative,100.0
Aiaree,Negative,100.0
AleaHuggins,Positive,100.0
AlexBarillas,Negative,100.0
Alex_Campea,Positive,100.0
AlexisJones1969,Negative,100.0
AndrewRostan,Negative,100.0
AnkeKoning,Negative,50.0
AnkeKoning,Positive,50.0
AnnaDvorchak,Negative,100.0
AnthonyHipp,Positive,100.0
AnthonyLeeLowe1,Positive,66.66666666666666
AnthonyLeeLowe1,Negative,33.33333333333333
Aretha1970,Positive,100.0
AtomicAnalyst,Positive,100.0
Austin_H2O,Positive,100.0
BB714CHI,Positive,100.0
BSRoma1,Positive,100.0
BSolesky,Negative,100.0
Bab_Bolelli,Positive,100.0
BabaYagaJess,Positive,100.0
BarbaraWieczor7,Positive,100.0
Barbtomko1,Negative,100.0
BeatlesFanDeb,Positive,100.0
BennettTomlin,Negative,100.0
BezeSelvaggio,Negative,66.66666666666666
BezeSelvaggio,Positive,33.33333333333333
BireshT,Negative,50.0
BireshT,Positive,50.0
Black_Bavarian,Positive,100.0
BrewingWally,Negative,50.0
BrewingWally,Positive,50.0
Bruce03806204,Negative,100.0
Bryan__Wilson,Negative,100.0
BuckLePard,Positive,100.0
C2CHoops,Positive,100.0
CEHandley,Positive,100.0
CJSummerfield,Negative,100.0
CN_D,Positive,100.0
CWSDingerZone,Negative,100.0
CalvadosMmaza,Positive,66.66666666666666
CalvadosMmaza,Negative,33.33333333333333
CanuckBoy670AM,Negative,100.0
Carissawashere,Positive,100.0
CaroPierpaolo,Negative,100.0
CarpioGraham,Negative,100.0
CarsPerforming,Negative,100.0
CatrionaMDW,Positive,100.0
ChasMiller54,Negative,100.0
CherMarlee,Negative,100.0
ChiBurgh85,Positive,100.0
ChiTeacherMemes,Positive,100.0
Chicago1Ray,Negative,50.0
Chicago1Ray,Positive,50.0
ChicagoMSTie,Negative,100.0
ChrisALadd,Positive,100.0
ChrisBr38752026,Positive,100.0
ChrisJ926,Negative,100.0
ChrisSu84750791,Positive,66.66666666666666
ChrisSu84750791,Negative,33.33333333333333
Chrissybug53,Negative,75.0
Chrissybug53,Positive,25.0
ChuckBportinn10,Negative,100.0
ChudJoe,Negative,100.0
Coinfox1,Negative,100.0
ConLaw60654,Negative,100.0
Cr8nguy,Negative,100.0
CrazyHadel,Positive,100.0
CruisingChicago,Positive,100.0
Cucksnuffer,Negative,100.0
DCLady64,Positive,100.0
DGoodpaster1970,Positive,100.0
DJiCarajo,Positive,100.0
Da_Nerdette,Negative,100.0
DanOnBranding,Negative,100.0
Dan_Donovan_17,Negative,100.0
DankSinatra06,Negative,100.0
DaveStinton,Negative,100.0
DeniseHelton6,Positive,100.0
DenturesDentata,Negative,100.0
Devintweettweet,Positive,100.0
DinaEllithorpe,Negative,100.0
DirtySanchez7,Negative,100.0
DonHarrigan,Positive,100.0
DorineCondon,Positive,100.0
DrLindaShelton,Positive,100.0
DsaFemme,Positive,100.0
DuvaKate,Negative,100.0
EHaun59,Negative,100.0
Edzila,Negative,50.0
Edzila,Positive,50.0
Elijahsbrain,Positive,100.0
EllenKoko,Positive,100.0
FCAEnduranceChi,Positive,100.0
FM_wethepeople,Negative,100.0
Fillan20,Negative,100.0
FilmBuffFrankie,Positive,100.0
FleischmanSteve,Negative,50.0
FleischmanSteve,Positive,50.0
FlicklundTweetz,Negative,100.0
Floriantio,Negative,100.0
FlyStatement,Negative,100.0
Fortuneator,Positive,100.0
FredBWeber,Negative,100.0
FullCountTommy,Negative,100.0
Fullarr,Negative,100.0
Future_Bacon,Positive,100.0
GHogChi,Positive,100.0
GREGORY28309941,Positive,85.71428571428571
GREGORY28309941,Negative,14.285714285714285
Garrison66,Positive,100.0
Geno2131,Positive,100.0
GeorgeR91001959,Positive,100.0
Girlsday312,Negative,100.0
GunterDawg99,Negative,100.0
GuyChicago5151,Negative,50.0
GuyChicago5151,Positive,50.0
HawkeyeBrewing,Negative,100.0
HeheJenkins,Positive,100.0
Helena_ASV,Positive,100.0
HillReporter,Positive,100.0
HoneyBadger4518,Positive,100.0
IIRONINTHEFIRE,Negative,100.0
IRISHQueen5367,Positive,100.0
IamKrisWagner,Negative,50.0
IamKrisWagner,Positive,50.0
IllinoisMp,Negative,100.0
Iris2856,Positive,100.0
JKrasnozon,Negative,100.0
JLawnicki93,Negative,50.0
JLawnicki93,Positive,50.0
JLeeCote,Negative,100.0
JMoreChicago,Positive,100.0
JacquelineS59,Positive,100.0
Jahshoewahh,Positive,100.0
JamesZekis,Positive,100.0
JaneDefiant,Negative,50.0
JaneDefiant,Positive,50.0
JasTwister,Negative,100.0
Jaysosa21,Negative,100.0
Je_suis_fatigue,Negative,100.0
JeffRWLawyer,Negative,100.0
JeffreyStern10,Negative,100.0
JheriCurlJesus,Negative,100.0
Jhonmar,Positive,100.0
JimClar82356805,Positive,100.0
Joe08172832,Positive,100.0
JoeTurman6,Positive,60.0
JoeTurman6,Negative,40.0
JoeZ84,Negative,66.66666666666666
JoeZ84,Positive,33.33333333333333
JoelGratcyk,Negative,100.0
Joethewarrior63,Negative,83.33333333333334
Joethewarrior63,Positive,16.666666666666664
JohnJRamboEsq,Positive,100.0
JohnMailhiot,Positive,100.0
JohnSerChi,Negative,100.0
JorgeGuapo22,Negative,100.0
JoyceHutchens3,Negative,100.0
Jramseychicago,Negative,100.0
Julianne_T_,Negative,100.0
JustNotTheSam,Negative,100.0
JustSlashie,Positive,100.0
KGunnill,Positive,100.0
KMA21211,Negative,100.0
KaelClugston,Positive,100.0
KahaBehr,Negative,100.0
KateMossMusic,Negative,100.0
Kellyjameschi,Positive,100.0
Kennypanda321,Positive,100.0
