date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-07-18 23:59:34,La_Bete_humaine,,1,1,5,"#TrumpIsALaughingStock Because when America needed a leader @realDonaldTrump FAILED! 9 - more later ",,@realDonaldTrump,#TrumpIsALaughingStock,1284638977832611846,https://twitter.com/La_Bete_humaine/status/1284638977832611846
2020-07-18 23:59:28,PatrickHenryQ,cona1960,0,0,0,"The word facts is not one he knows how to deal with @realDonaldTrump is a lying sack of crap and liars can’t keep their facts straight everyday he lies sun up to sun up he’s an evil person ",,@realDonaldTrump,,1284638951551258624,https://twitter.com/PatrickHenryQ/status/1284638951551258624
2020-07-18 23:59:05,Rob_Robb,nytimes,0,0,0,"A biden and trump presidency is nowhere near the same. What is this? ",,,,1284638857808486400,https://twitter.com/Rob_Robb/status/1284638857808486400
2020-07-18 23:58:50,JoeZ84,JoeZ84,2,0,0,"Here’s a bigger point... IS General confirmed it was strong intel. Trump knows, still did nothing Just like you were wrong about Russia trying to steal our vaccine. You ran from that one... tried to just pretend it never happened Kick rocks",,,,1284638793841225728,https://twitter.com/JoeZ84/status/1284638793841225728
2020-07-18 23:58:41,KoobKram,armsrlarge,1,0,1,"thanks for the input, bot.",,,,1284638754058182660,https://twitter.com/KoobKram/status/1284638754058182660
2020-07-18 23:58:26,cbschicago,,98,78,175,"Chicago FOP President John Catanzara Jr. has issued a letter to President Trump, asking for help from the federal government to fight “chaos” in Chicago and calling Mayor Lori Lightfoot a “complete failure.” ",,,,1284638694125731841,https://twitter.com/cbschicago/status/1284638694125731841
2020-07-18 23:58:05,crookedchicago,,0,0,0,"Trump should offer free flights to North Korea for those who hate the US so much. Liberals, gtfo of the USA, you are not worthy of the liberties and freedoms that are given to you free of charge",,,,1284638604585775106,https://twitter.com/crookedchicago/status/1284638604585775106
2020-07-18 23:58:00,ChiBurgh85,DonMcDougall8,2,0,1,"Yes trump is savior all HBCU’s ",,,,1284638583203168256,https://twitter.com/ChiBurgh85/status/1284638583203168256
2020-07-18 23:57:46,AnkeKoning,business,0,0,0,"@ReelectTrump123 Interesting, Trump received similar briefing in 2016, and sided with Putin, why is that?",,@ReelectTrump123,,1284638526085226496,https://twitter.com/AnkeKoning/status/1284638526085226496
2020-07-18 23:57:44,pinkmommy5,Gottabfishin,0,1,1,"Thank you so very much @Gottabfishin ",,@Gottabfishin,,1284638515960123393,https://twitter.com/pinkmommy5/status/1284638515960123393
2020-07-18 23:57:35,Geno2131,ScottBaio,0,0,0,"Wow...very powerful! God bless him!",,,,1284638480912601088,https://twitter.com/Geno2131/status/1284638480912601088
2020-07-18 23:57:27,La_Bete_humaine,,1,0,3,"#TrumpIsALaughingStock Because when America needed a leader @realDonaldTrump FAILED! 5 ",,@realDonaldTrump,#TrumpIsALaughingStock,1284638444241612801,https://twitter.com/La_Bete_humaine/status/1284638444241612801
2020-07-18 23:57:16,l_p_348,,1,0,9,"#TRUMP ",,,#TRUMP,1284638400390340608,https://twitter.com/l_p_348/status/1284638400390340608
2020-07-18 23:56:54,La_Bete_humaine,,1,0,1,"#TrumpIsALaughingStock Because when America needed a leader @realDonaldTrump FAILED! 4 ",,@realDonaldTrump,#TrumpIsALaughingStock,1284638307679236097,https://twitter.com/La_Bete_humaine/status/1284638307679236097
2020-07-18 23:56:23,La_Bete_humaine,,0,0,1,"#TrumpIsALaughingStock Because when America needed a leader @realDonaldTrump FAILED! 3 ",,@realDonaldTrump,#TrumpIsALaughingStock,1284638178410782720,https://twitter.com/La_Bete_humaine/status/1284638178410782720
2020-07-18 23:56:19,Joethewarrior63,itsJeffTiedrich,0,0,1,"The only ones that obviously didn't forsee it would be the idiots that voted for him in the first place hopefully come November the embarrassment will end trump must go in 20",,,,1284638158387400706,https://twitter.com/Joethewarrior63/status/1284638158387400706
2020-07-18 23:56:10,DGoodpaster1970,realDonaldTrump,1,0,2,"This is the best political ad ever! Tying Chester singing in with images of creepy Joe is cryptic reminders of pedogate and how nasty the Dems are. Brilliant! Trump 2020!! ",,,,1284638122630946817,https://twitter.com/DGoodpaster1970/status/1284638122630946817
2020-07-18 23:56:05,La_Bete_humaine,,0,3,4,"#TrumpIsALaughingStock Because when America needed a leader @realDonaldTrump FAILED! 2 ",,@realDonaldTrump,#TrumpIsALaughingStock,1284638101650825216,https://twitter.com/La_Bete_humaine/status/1284638101650825216
2020-07-18 23:55:39,ChrisSu84750791,zaharako,0,0,0,"You’re more upset that there are people risking their lives to restore order in America? Are you serious?if you’re a true American, you would be supporting them! #StayWoke THANK GOD FOR TRUMP!",,,#StayWoke,1284637991969816576,https://twitter.com/ChrisSu84750791/status/1284637991969816576
2020-07-18 23:55:37,petersagal,,3,16,83,"Inside Trump’s Failure: The Rush to Abandon Leadership Role on the Virus - The New York Times ",,,,1284637983824633857,https://twitter.com/petersagal/status/1284637983824633857
2020-07-18 23:55:32,La_Bete_humaine,,1,1,1,"#TrumpIsALaughingStock Because when America needed a leader @realDonaldTrump FAILED! 1 ",,@realDonaldTrump,#TrumpIsALaughingStock,1284637964367130624,https://twitter.com/La_Bete_humaine/status/1284637964367130624
2020-07-18 23:55:08,AnkeKoning,thedailybeast,0,0,2,"@ReelectTrump123 How about we correct for Trump’s Emolument governance, come November #Elections2020",,@ReelectTrump123,#Elections2020,1284637861967548416,https://twitter.com/AnkeKoning/status/1284637861967548416
2020-07-18 23:55:02,craigmindrum,BrianKarem,0,0,0,"Just wait till Trump's Nazi jackboots get redeployed from Portland to here. They'll find some reason to detain and beat up the driver of this truck.",,,,1284637835702571008,https://twitter.com/craigmindrum/status/1284637835702571008
2020-07-18 23:54:41,lilawalker70,LacyJohnsonMN,0,0,0,"Hugs from Chicago!",,,,1284637750482939905,https://twitter.com/lilawalker70/status/1284637750482939905
2020-07-18 23:53:55,poeticpotion111,AAPSonline,0,0,2,"Why doesn’t everyone just take hydroxychloroquine for recommended period of time along with zinc? As a prophylaxis? Wouldn’t this make you immune to getting COVID19? From there on out? @realDonaldTrump",,@realDonaldTrump,,1284637555208720385,https://twitter.com/poeticpotion111/status/1284637555208720385
2020-07-18 23:53:16,VirgilThatcher,realDonaldTrump,0,0,0,"holy propaganda, batman",,,,1284637394390650883,https://twitter.com/VirgilThatcher/status/1284637394390650883
2020-07-18 23:53:10,SFrank38286129,GOP,0,0,0,"We get more than enough lies from DT. You don't know how it works. You have to start the lie with ""Many people are saying"" followed by the lie of the minute.",,,,1284637368557932546,https://twitter.com/SFrank38286129/status/1284637368557932546
2020-07-18 23:53:10,ChiBurgh85,DonMcDougall8,2,0,1,"I don’t care about my people.. ohhhhh because I won’t vote for trump.. gotcha ",,,,1284637366926413824,https://twitter.com/ChiBurgh85/status/1284637366926413824
2020-07-18 23:53:03,ronnmail,StephenKing,0,0,0,"Magic Beans! You plant them and when they come up, the Coronavirus goes away, just disappears, like magic! - Donald Trump! ",,,,1284637338602213377,https://twitter.com/ronnmail/status/1284637338602213377
2020-07-18 23:52:26,BuckLePard,,2,0,5,"Marty Crane is smart enough to recognize Trump as a stuck up, out of touch rich bozo, and he wouldn’t vote for that",,,,1284637182511263752,https://twitter.com/BuckLePard/status/1284637182511263752
2020-07-18 23:52:24,billslater,RedState,0,0,0,". #Yuge! In #Chicago, #MayorLightfoot knows #Kayleigh! @PressSec @kayleighmcenany @QWarrior12 @Scavino45 @realDonaldTrump @RealCandaceO @realDonaldTrump @ReallyGrrly @LadyRedWave",,@PressSec @kayleighmcenany @QWarrior12 @Scavino45 @realDonaldTrump @RealCandaceO @realDonaldTrump @ReallyGrrly @LadyRedWave,#Yuge #Chicago #MayorLightfoot #Kayleigh,1284637174709788676,https://twitter.com/billslater/status/1284637174709788676
2020-07-18 23:51:35,Chicago1Ray,AmericaVotesUS,0,8,14,"TRUMP (2020) MAGA KAG ",,,,1284636971181191170,https://twitter.com/Chicago1Ray/status/1284636971181191170
2020-07-18 23:50:55,DirtySanchez7,,0,0,0,"Trump doing his own fancam using a linkin park song wtf",,,,1284636800582135810,https://twitter.com/DirtySanchez7/status/1284636800582135810
2020-07-18 23:50:54,Marsh_Ink,GadaboutH,2,0,0,"besides, asthma is a legitimate reason. Unlike trump. Also here. There’s this great photo I’m surprised hasn’t been utilized by Biden more. ",,,,1284636797939720198,https://twitter.com/Marsh_Ink/status/1284636797939720198
2020-07-18 23:50:34,FredBWeber,realDonaldTrump,0,0,0,"With all the books being written about you, it’s a damn shame you have no idea how to read!",,,,1284636712338173955,https://twitter.com/FredBWeber/status/1284636712338173955
2020-07-18 23:50:16,MontgomeryKell1,LindseyGrahamSC,0,0,0,"You're a Treasonous Traitor. Stabbed McCain in the back kissing up to Trump who will stab you in the back in a heartbeat! Insisting on an investigation on Obama administration and MoscowMitch defended Putin Against Intelligence and Obama when he told him Russia was interfering!",,,,1284636637520105472,https://twitter.com/MontgomeryKell1/status/1284636637520105472
2020-07-18 23:49:39,MarieFlemings,chicagosmayor,1,0,2,"Not sure what happened to yesterday’s black lives matter protest, I saw the start of an ongoing peaceful protest? Why are CPD so aggressive with civil rights advocates whom demonstrate peace. Why don’t you march with YOUR citizens? CPD no longer answer to you they answer to Trump",,,,1284636482637111300,https://twitter.com/MarieFlemings/status/1284636482637111300
2020-07-18 23:49:33,PatrickHenryQ,nikoll68,0,0,0,"These comments are to be taken seriously from someone who has first hand experience on how it starts ceaucsuscu was a evil scumbag like trump ",,,,1284636457269964800,https://twitter.com/PatrickHenryQ/status/1284636457269964800
2020-07-18 23:49:23,chitowndi1,Jess_Bella_79,2,3,6,"Trump followed The Constitution to the letter and allowed Govs and Mayors to make their own decisions. Each and every Democrat became a lawless, tyrannical autocrat who violated The Constitution. ",,,,1284636416404848640,https://twitter.com/chitowndi1/status/1284636416404848640
2020-07-18 23:49:14,blissblar,FiercelyNormal,1,0,0,"This is terrifying. I'm sure my city is on the list since Trump hates our mayor and keeps running his mouth about her and how she's handling things here",,,,1284636378232479745,https://twitter.com/blissblar/status/1284636378232479745
2020-07-18 23:49:11,geminimoon,,0,1,5,"About to start this Mary Trump book. I hear it’s a terrifying read...",,,,1284636366828118016,https://twitter.com/geminimoon/status/1284636366828118016
2020-07-18 23:48:13,t_beez22,tackettdc,0,0,0,"NYT? LOLOL you mean the propaganda arm of the democrat party! NYT gave up pretense of being fair with its out of control trump hatred @RayLong @chicagotribune",,@RayLong @chicagotribune,,1284636123432615936,https://twitter.com/t_beez22/status/1284636123432615936
2020-07-18 23:47:52,iblock9,Redpainter1,0,0,1,"Donald Trump looks like he ate Donald Trump!",,,,1284636035666894848,https://twitter.com/iblock9/status/1284636035666894848
2020-07-18 23:47:40,WillieLangLang2,,0,0,0,"I knew it! Whats good @realDonaldTrump Folks #Chicago",,@realDonaldTrump,#Chicago,1284635981887541250,https://twitter.com/WillieLangLang2/status/1284635981887541250
2020-07-18 23:47:34,ZorbasChicago,,0,0,0,"Trump expected to exclude undocumented migrants from U.S. census ",,,,1284635959871647745,https://twitter.com/ZorbasChicago/status/1284635959871647745
2020-07-18 23:47:31,LLOYDWILLIAMS14,,0,0,4,"Trump Weighs In on the Death of John Lewis, One of His Most Vocal Critics http://a.msn.com/01/en-us/BB16Utx2?ocid=st ",,,,1284635944990265344,https://twitter.com/LLOYDWILLIAMS14/status/1284635944990265344
2020-07-18 23:46:55,karincpryor,realDonaldTrump,0,0,0,"Really? U waited all day, or at least until after golf to express condolences?!?! You are reprehensible. #GrifterInChief #TrumpIsNotWell #TrumpTraitor",,,#GrifterInChief #TrumpIsNotWell #TrumpTraitor,1284635794108493824,https://twitter.com/karincpryor/status/1284635794108493824
2020-07-18 23:46:40,AnkeKoning,realDonaldTrump,0,0,0,"@ReelectTrump123 145,000 Covid dead and rising, 20.5+ million unemployed; America can do better than Emolument Trump leadership. #Elections2020",,@ReelectTrump123,#Elections2020,1284635730548002816,https://twitter.com/AnkeKoning/status/1284635730548002816
2020-07-18 23:46:15,divakari6642,AliVelshi,0,0,0,"Patently illegal. See Constitution. The power to conduct census lies with Congress. (I know. Illegality never stopped Trump before... ) ",,,,1284635628819435522,https://twitter.com/divakari6642/status/1284635628819435522
2020-07-18 23:45:27,ActonBell12,narceducator,0,0,0,"Trump PERFECTLY MIRRORS his followers, and they love him for it in return. ",,,,1284635425903173632,https://twitter.com/ActonBell12/status/1284635425903173632
