kind,etag,id.kind,id.videoId,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default.url,snippet.thumbnails.default.width,snippet.thumbnails.default.height,snippet.thumbnails.medium.url,snippet.thumbnails.medium.width,snippet.thumbnails.medium.height,snippet.thumbnails.high.url,snippet.thumbnails.high.width,snippet.thumbnails.high.height,snippet.channelTitle,snippet.liveBroadcastContent,snippet.publishTime
youtube#searchResult,8ec8Td8z22XvnSBgqxU9MKlWjc8,youtube#video,I9w841nrIBg,2020-06-26T12:00:09Z,UCLXo7UDZvByw2ixzpQCufnA,What &quot;defund the police&quot; really means,It's not as radical as it sounds. Become a Video Lab member! http://bit.ly/video-lab Subscribe to our channel! http://goo.gl/0bsAjO Among those protesting police ...,https://i.ytimg.com/vi/I9w841nrIBg/default.jpg,120,90,https://i.ytimg.com/vi/I9w841nrIBg/mqdefault.jpg,320,180,https://i.ytimg.com/vi/I9w841nrIBg/hqdefault.jpg,480,360,Vox,none,2020-06-26T12:00:09Z
youtube#searchResult,mRL-UxAckX5gQJxq8HJd7MGW-sQ,youtube#video,leriZ_yEKY8,2020-06-08T14:53:11Z,UCH1oRy1dINbMVp3UFWrKP0w,Mayor of Minneapolis addresses calls to &#39;defund police&#39; l GMA,Jacob Frey addresses the Minneapolis City Council's intent to move toward dismantling the city's police department and police reform. Subscribe to GMA's ...,https://i.ytimg.com/vi/leriZ_yEKY8/default.jpg,120,90,https://i.ytimg.com/vi/leriZ_yEKY8/mqdefault.jpg,320,180,https://i.ytimg.com/vi/leriZ_yEKY8/hqdefault.jpg,480,360,Good Morning America,none,2020-06-08T14:53:11Z
youtube#searchResult,KqqPsuiU7hBto6ASqjqFjVt2vk0,youtube#video,JHbIzVoeWvc,2020-07-09T10:53:17Z,UCTrQ7HXWRRxr7OsOtodr2_w,&#39;Defund the police&#39; explained: what it really means for the Black Lives Matter movement,The new demand of the black lives matter movement is to defund the police. For many this is an extreme slogan. So what does it mean? Where does it come ...,https://i.ytimg.com/vi/JHbIzVoeWvc/default.jpg,120,90,https://i.ytimg.com/vi/JHbIzVoeWvc/mqdefault.jpg,320,180,https://i.ytimg.com/vi/JHbIzVoeWvc/hqdefault.jpg,480,360,Channel 4 News,none,2020-07-09T10:53:17Z
youtube#searchResult,sQTfZ77x0mNi7XemIHuSPWCn_m8,youtube#video,xg6YV_5Om3s,2020-06-22T13:33:37Z,UCHpw8xwDNhU9gdohEcJu4aA,What does it mean to defund the police?,"The Black Lives Matter protests in the US, which escalated in response to the killing of George Floyd in Minneapolis, have brought the little-known but ...",https://i.ytimg.com/vi/xg6YV_5Om3s/default.jpg,120,90,https://i.ytimg.com/vi/xg6YV_5Om3s/mqdefault.jpg,320,180,https://i.ytimg.com/vi/xg6YV_5Om3s/hqdefault.jpg,480,360,The Guardian,none,2020-06-22T13:33:37Z
youtube#searchResult,d_7SkuYjZoQYTuM01uJT592RQV8,youtube#video,EaJ2MpqcMT0,2020-06-08T14:14:33Z,UCEAZeUIeJs0IjQiqTCdVSIg,Minneapolis moves to defund police department,"The Black Lives Matter movement has sparked some monumental changes, with cities making moves to defund police forces. Yahoo Finance's Alexis ...",https://i.ytimg.com/vi/EaJ2MpqcMT0/default.jpg,120,90,https://i.ytimg.com/vi/EaJ2MpqcMT0/mqdefault.jpg,320,180,https://i.ytimg.com/vi/EaJ2MpqcMT0/hqdefault.jpg,480,360,Yahoo Finance,none,2020-06-08T14:14:33Z
youtube#searchResult,G4wfd7Pd0iyMvMwwAUmc_uN1HdU,youtube#video,3hOy_zdnxrI,2020-06-09T23:52:33Z,UCupvZG-5ko_eiXAupbDfxWw,What defunding the police could look like,"After George Floyd's death at the hands of a former Minneapolis police officer, some activists are calling to ""defunding the police."" CNN's Brian Todd reports on ...",https://i.ytimg.com/vi/3hOy_zdnxrI/default.jpg,120,90,https://i.ytimg.com/vi/3hOy_zdnxrI/mqdefault.jpg,320,180,https://i.ytimg.com/vi/3hOy_zdnxrI/hqdefault.jpg,480,360,CNN,none,2020-06-09T23:52:33Z
youtube#searchResult,TMp3MXsDUtyZ0XDcIMa_2ob8oRU,youtube#video,F0L0-mL_ScI,2020-06-07T11:44:09Z,UCupvZG-5ko_eiXAupbDfxWw,Protesters boo Minneapolis mayor for refusing to defund police,Minneapolis Mayor Jacob Frey was booed by protesters after telling the group he did not support defunding and abolishing the city's police department. #CNN ...,https://i.ytimg.com/vi/F0L0-mL_ScI/default.jpg,120,90,https://i.ytimg.com/vi/F0L0-mL_ScI/mqdefault.jpg,320,180,https://i.ytimg.com/vi/F0L0-mL_ScI/hqdefault.jpg,480,360,CNN,none,2020-06-07T11:44:09Z
youtube#searchResult,8fRLAT5edf30CABOMBAslv9p5Fg,youtube#video,yMcwklHOyYU,2020-06-18T21:50:49Z,UChLtXXpo4Ge1ReTEboVvTDg,"“Defund the police,” explained",Defund the police” is a rallying cry that has gained traction following the killing of George Floyd in police custody and the outbreak of global protests against ...,https://i.ytimg.com/vi/yMcwklHOyYU/default.jpg,120,90,https://i.ytimg.com/vi/yMcwklHOyYU/mqdefault.jpg,320,180,https://i.ytimg.com/vi/yMcwklHOyYU/hqdefault.jpg,480,360,Global News,none,2020-06-18T21:50:49Z
youtube#searchResult,Fy4J9aR-vQkuRJoAZ6evJyF7gjI,youtube#video,a1g2tA53n_Y,2020-07-13T21:42:56Z,UC52X5wxOL_s5yw0dQk7NtgA,Trump: Radical politicians want to &#39;defund&#39; police,President Donald Trump used a White House law enforcement roundtable to pitch himself as a law and order candidate while warning of a “radical left” push ...,https://i.ytimg.com/vi/a1g2tA53n_Y/default.jpg,120,90,https://i.ytimg.com/vi/a1g2tA53n_Y/mqdefault.jpg,320,180,https://i.ytimg.com/vi/a1g2tA53n_Y/hqdefault.jpg,480,360,Associated Press,none,2020-07-13T21:42:56Z
youtube#searchResult,ZhsXBr_NOuhmKRp_B9td3f9vKBU,youtube#video,9NgH78K3uMs,2020-06-08T21:13:00Z,UCP6HGa63sBC7-KHtkme-p-g,What does &#39;defund police&#39; mean? | USA TODAY,"What does ""defund the police"" mean? RELATED: https://bit.ly/2AdiB7O A veto-proof majority of the Minneapolis City Council committed to dismantling its police ...",https://i.ytimg.com/vi/9NgH78K3uMs/default.jpg,120,90,https://i.ytimg.com/vi/9NgH78K3uMs/mqdefault.jpg,320,180,https://i.ytimg.com/vi/9NgH78K3uMs/hqdefault.jpg,480,360,USA TODAY,none,2020-06-08T21:13:00Z
