kind,etag,id.kind,id.videoId,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default.url,snippet.thumbnails.default.width,snippet.thumbnails.default.height,snippet.thumbnails.medium.url,snippet.thumbnails.medium.width,snippet.thumbnails.medium.height,snippet.thumbnails.high.url,snippet.thumbnails.high.width,snippet.thumbnails.high.height,snippet.channelTitle,snippet.liveBroadcastContent,snippet.publishTime
youtube#searchResult,5_f-VmR-eFR5PC6nfbYq1X2Gskk,youtube#video,OMrvgqKncz8,2020-07-18T17:00:06Z,UC_zEzzq54Rm0iy7lmmZbCIg,"OMG, The WHOLE DOOR Came OFF! 😅 | Funny FAILS | AFV 2020",Subscribe to join the #AFVFAM http://bit.ly/afvyoutube | Make sure to enable ALL push notifications! Check out out MERCH store: https://bit.ly/2UJJULn ...,https://i.ytimg.com/vi/OMrvgqKncz8/default.jpg,120,90,https://i.ytimg.com/vi/OMrvgqKncz8/mqdefault.jpg,320,180,https://i.ytimg.com/vi/OMrvgqKncz8/hqdefault.jpg,480,360,America's Funniest Home Videos,none,2020-07-18T17:00:06Z
youtube#searchResult,Z8A7-CV8gqrUM69TrUnlt-lCSic,youtube#video,2kf2C-Z0afo,2020-07-17T17:00:01Z,UC_zEzzq54Rm0iy7lmmZbCIg,FAIL Like Nobody&#39;s WATCHING! 😂 | Funny Videos | AFV 2020,Subscribe to join the #AFVFAM http://bit.ly/afvyoutube | Make sure to enable ALL push notifications! Check out out MERCH store: https://bit.ly/2UJJULn ...,https://i.ytimg.com/vi/2kf2C-Z0afo/default.jpg,120,90,https://i.ytimg.com/vi/2kf2C-Z0afo/mqdefault.jpg,320,180,https://i.ytimg.com/vi/2kf2C-Z0afo/hqdefault.jpg,480,360,America's Funniest Home Videos,none,2020-07-17T17:00:01Z
youtube#searchResult,YiwQ2V9dlU0i1o8D5C-0EWn_s5U,youtube#video,kTtxr0tBARo,2020-07-18T00:13:43Z,UC_zEzzq54Rm0iy7lmmZbCIg,[2 Hour] Epic Try Not to Laugh Challenge! | Funniest Videos | AFV July 2020,Subscribe to join the #AFVFAM http://bit.ly/afvyoutube | Make sure to enable ALL push notifications! Check out out MERCH store: https://bit.ly/2UJJULn Try ...,https://i.ytimg.com/vi/kTtxr0tBARo/default.jpg,120,90,https://i.ytimg.com/vi/kTtxr0tBARo/mqdefault.jpg,320,180,https://i.ytimg.com/vi/kTtxr0tBARo/hqdefault.jpg,480,360,America's Funniest Home Videos,none,2020-07-18T00:13:43Z
youtube#searchResult,ZSQGQxoBybLLA2zYTbbTP3jS4Z4,youtube#video,3W9ck1YVx2I,2020-07-17T16:00:01Z,UCd07rKJ7Q0pg5ths7Pz8k8Q,TRY NOT TO LAUGH - Funny Fail Videos,My favorite people! We're back again with another fails video for ya. Next week's fails video is one chosen by you the fans! Be on the lookout for that. Enjoy! LIKE ...,https://i.ytimg.com/vi/3W9ck1YVx2I/default.jpg,120,90,https://i.ytimg.com/vi/3W9ck1YVx2I/mqdefault.jpg,320,180,https://i.ytimg.com/vi/3W9ck1YVx2I/hqdefault.jpg,480,360,Funny Vines,none,2020-07-17T16:00:01Z
youtube#searchResult,sqjugBTvIWY3M5gd425W0C-gdTU,youtube#video,QhlHl15l3Qs,2020-07-18T16:00:07Z,UCd07rKJ7Q0pg5ths7Pz8k8Q,TRY NOT TO LAUGH - Funny SUMMER Fails,"2 Fail videos in 1 week?! Yep! I present to you Summer Fails! LIKE, COMMENT, SUB, TELL YOUR FRIENDS! Be Safe ♥️ Subscribe for more Funny Vines ...",https://i.ytimg.com/vi/QhlHl15l3Qs/default.jpg,120,90,https://i.ytimg.com/vi/QhlHl15l3Qs/mqdefault.jpg,320,180,https://i.ytimg.com/vi/QhlHl15l3Qs/hqdefault.jpg,480,360,Funny Vines,none,2020-07-18T16:00:07Z
youtube#searchResult,_odfMEMkuVqdrR2TY4uMNothqqM,youtube#video,owvM_fBFFVM,2020-07-18T04:30:03Z,UCod_t2sXD_gRI11yFFGkoXg,New Funny Videos 2020 ● People doing stupid things P147,"Hi my friends, please check our new compilation. Here is moments people funny videos and we hope that this video make your life more fun & you enjoy it ...",https://i.ytimg.com/vi/owvM_fBFFVM/default.jpg,120,90,https://i.ytimg.com/vi/owvM_fBFFVM/mqdefault.jpg,320,180,https://i.ytimg.com/vi/owvM_fBFFVM/hqdefault.jpg,480,360,Vines best fun,none,2020-07-18T04:30:03Z
youtube#searchResult,Qj7UoQBjb9GgcEMcDEyPkHGdkBc,youtube#video,P6vxhOXuW28,2020-07-15T17:00:06Z,UC_zEzzq54Rm0iy7lmmZbCIg,We KNOW How This FAILS! 😅 | Funny Videos | AFV 2020,Subscribe to join the #AFVFAM http://bit.ly/afvyoutube | Make sure to enable ALL push notifications! Check out out MERCH store: https://bit.ly/2UJJULn ...,https://i.ytimg.com/vi/P6vxhOXuW28/default.jpg,120,90,https://i.ytimg.com/vi/P6vxhOXuW28/mqdefault.jpg,320,180,https://i.ytimg.com/vi/P6vxhOXuW28/hqdefault.jpg,480,360,America's Funniest Home Videos,none,2020-07-15T17:00:06Z
youtube#searchResult,nG4h_3PKmyCdFlhOdwyZy78ozGU,youtube#video,uDE5ygucFyY,2020-07-16T16:00:11Z,UCxMYYfhs8BqYmJLBHmgsXLw,Zedd &amp; Jasmine Thompson - Funny [Official Video],Funny” by Zedd & Jasmine Thompson Get It Now: https://lnk.to/zjFUNNY!jasmine Subscribe for more official content from Jasmine: ...,https://i.ytimg.com/vi/uDE5ygucFyY/default.jpg,120,90,https://i.ytimg.com/vi/uDE5ygucFyY/mqdefault.jpg,320,180,https://i.ytimg.com/vi/uDE5ygucFyY/hqdefault.jpg,480,360,Jasmine Thompson,none,2020-07-16T16:00:11Z
youtube#searchResult,GjQBC1hLQ5JnQCkXnB-Pzn8f33k,youtube#video,Fe-SOwHWq2I,2020-07-17T19:00:10Z,UCUk7VggtJdo9XYTy3Z5QVAw,Adopting the cutest creatures in Ooblets!,This video is sponsored by Epic Games - https://store.epicgames.com/itsfunneh/ooblets ▻ Use creator code: ITSFUNNEH ▻ Subscribe today! http://bit.ly/Funneh ...,https://i.ytimg.com/vi/Fe-SOwHWq2I/default.jpg,120,90,https://i.ytimg.com/vi/Fe-SOwHWq2I/mqdefault.jpg,320,180,https://i.ytimg.com/vi/Fe-SOwHWq2I/hqdefault.jpg,480,360,ItsFunneh,none,2020-07-17T19:00:10Z
youtube#searchResult,0UD0AYwZpTI79qDgeCSC01QTVjA,youtube#video,enDf-uRHctI,2020-07-17T16:07:20Z,UCaTUEy6O9lOmHV87h8Z7o8Q,GENIUS PRANKS FOR YOUR FAMILY || Best Funny Pranks And Tricks by 123 Go! Genius,"I love yummy cake most of all! But only if this cake doesn't contain shaving cream  ! We'll show you how to cook delicious dessert using a shaving cream, how to ...",https://i.ytimg.com/vi/enDf-uRHctI/default.jpg,120,90,https://i.ytimg.com/vi/enDf-uRHctI/mqdefault.jpg,320,180,https://i.ytimg.com/vi/enDf-uRHctI/hqdefault.jpg,480,360,123 GO! Genius,none,2020-07-17T16:07:20Z
