kind,etag,id.kind,id.videoId,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default.url,snippet.thumbnails.default.width,snippet.thumbnails.default.height,snippet.thumbnails.medium.url,snippet.thumbnails.medium.width,snippet.thumbnails.medium.height,snippet.thumbnails.high.url,snippet.thumbnails.high.width,snippet.thumbnails.high.height,snippet.channelTitle,snippet.liveBroadcastContent,snippet.publishTime
youtube#searchResult,X5MNILvYhh2PRVIrkbSTfJgaVag,youtube#video,ku7PnMIbyd0,2019-06-19T15:00:12Z,UChDKyKQ59fYz3JO2fl0Z6sg,Inside President Donald Trump’s 2020 Campaign Kickoff | TODAY,President Trump's first 2020 campaign rally opened Tuesday with promises of American greatness and attacks on familiar rivals. The president launched his ...,https://i.ytimg.com/vi/ku7PnMIbyd0/default.jpg,120,90,https://i.ytimg.com/vi/ku7PnMIbyd0/mqdefault.jpg,320,180,https://i.ytimg.com/vi/ku7PnMIbyd0/hqdefault.jpg,480,360,TODAY,none,2019-06-19T15:00:12Z
youtube#searchResult,z3Fg74uX-9EW3VlWpMJzWg27nHw,youtube#video,ghXGNjAuosg,2019-06-19T01:34:59Z,UCBi2mrWuNuyYy4gbM6fU18Q,"President Trump&#39;s 2020 campaign kicks off with a rally in Orlando, Florida","Before taking off for Florida the President tweeted ""Next week Ice will begin the process of removing the millions of illegal aliens."" READ MORE: ...",https://i.ytimg.com/vi/ghXGNjAuosg/default.jpg,120,90,https://i.ytimg.com/vi/ghXGNjAuosg/mqdefault.jpg,320,180,https://i.ytimg.com/vi/ghXGNjAuosg/hqdefault.jpg,480,360,ABC News,none,2019-06-19T01:34:59Z
youtube#searchResult,JVYGL_VZF0Q7YFs_3f_1pYkt4aU,youtube#video,nthAvmPMZJg,2020-07-08T20:07:05Z,UCdtXPiqI2cLorKaPrfpKc4g,President Donald Trump REACTS to Kanye West’s Presidential Run,"President Donald Trump broke his silence on Tuesday, following Kanye West's announcement on Twitter that he's running for president in the 2020 election.",https://i.ytimg.com/vi/nthAvmPMZJg/default.jpg,120,90,https://i.ytimg.com/vi/nthAvmPMZJg/mqdefault.jpg,320,180,https://i.ytimg.com/vi/nthAvmPMZJg/hqdefault.jpg,480,360,Entertainment Tonight,none,2020-07-08T20:07:05Z
youtube#searchResult,0UQcyTsJWY_lgYthIr7GiIMTUPM,youtube#video,taHomhMLpH0,2020-06-30T01:30:00Z,UCBi2mrWuNuyYy4gbM6fU18Q,Lewandowski: &#39;Silent majority&#39; will support Trump in 2020 | PRIME,"Trump 2020 campaign senior adviser Corey Lewandowski responds to President Donald Trump's “white power” retweet, and his 2020 re-election chances.",https://i.ytimg.com/vi/taHomhMLpH0/default.jpg,120,90,https://i.ytimg.com/vi/taHomhMLpH0/mqdefault.jpg,320,180,https://i.ytimg.com/vi/taHomhMLpH0/hqdefault.jpg,480,360,ABC News,none,2020-06-30T01:30:00Z
youtube#searchResult,5sZapnsa19zITG6lM2ehtFcorhs,youtube#video,tXS13pcyMCs,2019-03-29T01:09:13Z,UChLtXXpo4Ge1ReTEboVvTDg,Highlights from U.S. President Donald Trump&#39;s 2020 rally in Michigan,"President Trump held a rally in Grand Rapids, Michigan on March 28. In an impassioned speech to supporters he lambasted the Democrats, remarked on the ...",https://i.ytimg.com/vi/tXS13pcyMCs/default.jpg,120,90,https://i.ytimg.com/vi/tXS13pcyMCs/mqdefault.jpg,320,180,https://i.ytimg.com/vi/tXS13pcyMCs/hqdefault.jpg,480,360,Global News,none,2019-03-29T01:09:13Z
youtube#searchResult,SFNWXhHsNzge0BMkqojjAnlJF1U,youtube#video,yQlC-tVnwFU,2019-06-18T21:21:46Z,UCijDos-LUTh9RQvSCMQqN6Q,Catholics respond to President Trump 2020 campaign kickoff - ENN 2019-06-18,"President Trump kicks off his 2020 re-election campaign with a massive rally in Orlando, Fla. He is trying to build broad support for a second term in office, but ...",https://i.ytimg.com/vi/yQlC-tVnwFU/default.jpg,120,90,https://i.ytimg.com/vi/yQlC-tVnwFU/mqdefault.jpg,320,180,https://i.ytimg.com/vi/yQlC-tVnwFU/hqdefault.jpg,480,360,EWTN,none,2019-06-18T21:21:46Z
youtube#searchResult,BF9hyJ8BSDy_JSsBy-fvuB5quyw,youtube#video,hH0a-2Vi3O4,2020-02-05T10:07:26Z,UCIRYBXDze5krPDzAEOxFGVA,Donald Trump&#39;s 2020 State of the Union address,"Donald Trump has delivered his third State of the Union address, bragging about the 'great American comeback', in a speech resembling an 81-minute ...",https://i.ytimg.com/vi/hH0a-2Vi3O4/default.jpg,120,90,https://i.ytimg.com/vi/hH0a-2Vi3O4/mqdefault.jpg,320,180,https://i.ytimg.com/vi/hH0a-2Vi3O4/hqdefault.jpg,480,360,Guardian News,none,2020-02-05T10:07:26Z
youtube#searchResult,SIXD4Lmh2biDKGgRPa7tgLNC2SM,youtube#video,lc7BI5HbkvY,2019-01-07T16:48:09Z,UCHd62-u_v4DvJ8TCFtpi4GA,Trump 2020: A reelection machine like we&#39;ve never seen before,Here's why it will be tough for a Democratic candidate to catch up with President Trump by the general election campaign. Read more: https://wapo.st/2C1NMzO.,https://i.ytimg.com/vi/lc7BI5HbkvY/default.jpg,120,90,https://i.ytimg.com/vi/lc7BI5HbkvY/mqdefault.jpg,320,180,https://i.ytimg.com/vi/lc7BI5HbkvY/hqdefault.jpg,480,360,Washington Post,none,2019-01-07T16:48:09Z
youtube#searchResult,4cl9ORVQPCb09NxlmLk-4rmlTOs,youtube#video,sMoMWEZYSoM,2020-06-21T02:07:48Z,UCYUbNjkuE4lsr2v1Id2O1oA,President Trump&#39;s re-election rally in Tulsa,"Supporters of President Donald Trump filled a Tulsa, Oklahoma stadium on June 20, 2020 for his first campaign rally in months. https://abc7ne.ws/2V52RLr.",https://i.ytimg.com/vi/sMoMWEZYSoM/default.jpg,120,90,https://i.ytimg.com/vi/sMoMWEZYSoM/mqdefault.jpg,320,180,https://i.ytimg.com/vi/sMoMWEZYSoM/hqdefault.jpg,480,360,ABC7 News Bay Area,none,2020-06-21T02:07:48Z
youtube#searchResult,pVryVAE8NmSQqi9iJ2XKG9BV944,youtube#video,JXT6JbZp2Vo,2019-06-19T01:52:46Z,UCBi2mrWuNuyYy4gbM6fU18Q,Sen. Bernie Sanders responds to President Trump&#39;s 2020 re-election rally | ABC News,SUBSCRIBE to ABC NEWS: https://www.youtube.com/ABCNews/ Watch More on http://abcnews.go.com/ LIKE ABC News on FACEBOOK ...,https://i.ytimg.com/vi/JXT6JbZp2Vo/default.jpg,120,90,https://i.ytimg.com/vi/JXT6JbZp2Vo/mqdefault.jpg,320,180,https://i.ytimg.com/vi/JXT6JbZp2Vo/hqdefault.jpg,480,360,ABC News,none,2019-06-19T01:52:46Z
