kind,etag,id.kind,id.videoId,snippet.publishedAt,snippet.channelId,snippet.title,snippet.description,snippet.thumbnails.default.url,snippet.thumbnails.default.width,snippet.thumbnails.default.height,snippet.thumbnails.medium.url,snippet.thumbnails.medium.width,snippet.thumbnails.medium.height,snippet.thumbnails.high.url,snippet.thumbnails.high.width,snippet.thumbnails.high.height,snippet.channelTitle,snippet.liveBroadcastContent,snippet.publishTime
youtube#searchResult,N1ZEsaBloVYk6M8h-Y-Aw6p8q6o,youtube#video,NpU_aN54eJA,2020-07-17T04:13:41Z,UCHcb3FQivl6xCRcHC2zjdkQ,Oliver Tree - Jerk [Lyric Video],"My debut album 'Ugly is Beautiful' is out now! http://olivertree.lnk.to/UglyisBeautifulID Shop vinyl, cassettes and merch bundles: http://olivertreemusic.com/store ...",https://i.ytimg.com/vi/NpU_aN54eJA/default.jpg,120,90,https://i.ytimg.com/vi/NpU_aN54eJA/mqdefault.jpg,320,180,https://i.ytimg.com/vi/NpU_aN54eJA/hqdefault.jpg,480,360,Oliver Tree,none,2020-07-17T04:13:41Z
youtube#searchResult,v_nT4kfRix4sofW1S_MVeQsTW9c,youtube#video,qv9VKKXwVxU,2009-05-30T20:38:23Z,UCEPvyNLIDrDwxoYb2rwVvHg,New Boyz &quot;You&#39;re A Jerk&quot; OFFICIAL Music Video HD Extended / Uncensored *Skee.TV,"The New Boyz ""You're A Jerk"" OFFICIAL Music Video HD / HQ Extended / Uncensored version. Directed by Matt Alonzo for Skee.TV Download ""You're a Jerk"" ...",https://i.ytimg.com/vi/qv9VKKXwVxU/default.jpg,120,90,https://i.ytimg.com/vi/qv9VKKXwVxU/mqdefault.jpg,320,180,https://i.ytimg.com/vi/qv9VKKXwVxU/hqdefault.jpg,480,360,Dash Radio,none,2009-05-30T20:38:23Z
youtube#searchResult,CmFbBGwNHcME6SkfCyuZQXqA0P4,youtube#video,CRtJo_7TfjE,2010-05-24T13:32:51Z,UCwiQpLcTUDRb7D2O7gtksCw,New Boyz - You&#39;re A Jerk,Hot Jerk Track.,https://i.ytimg.com/vi/CRtJo_7TfjE/default.jpg,120,90,https://i.ytimg.com/vi/CRtJo_7TfjE/mqdefault.jpg,320,180,https://i.ytimg.com/vi/CRtJo_7TfjE/hqdefault.jpg,480,360,Kenyi0815,none,2010-05-24T13:32:51Z
youtube#searchResult,xqGIqeyv8wNIR3dnOlJLv8kGYQg,youtube#video,VtAdzcklho0,2020-07-17T02:23:53Z,UCmtiVuZJJU2A9CT7zOt7VRQ,Oliver Tree - Jerk (Lyrics),Oliver Tree - Jerk (Lyrics) A request for subscribe and press bell icon for enjoy more videos. Thank You Follow Oliver Tree: http://olivertreemusic.com ...,https://i.ytimg.com/vi/VtAdzcklho0/default.jpg,120,90,https://i.ytimg.com/vi/VtAdzcklho0/mqdefault.jpg,320,180,https://i.ytimg.com/vi/VtAdzcklho0/hqdefault.jpg,480,360,Authentic Music,none,2020-07-17T02:23:53Z
youtube#searchResult,dzXvJV25i5XgC16SbFyo4quUfH8,youtube#video,Cej49JtMmjM,2009-10-29T01:08:26Z,UCcEMSoDrG-WZNNFBGp_Sabw,New Boyz - You&#39;re A Jerk Lyrics (OFFICIAL LYRICS),"This is a cool video that tells you the exact lyrics to the awsome song, YOUR A JERK! (YES I DID MAKE THE MOVIE AND DIDNT COPY IT FROM YOUTUBE!)",https://i.ytimg.com/vi/Cej49JtMmjM/default.jpg,120,90,https://i.ytimg.com/vi/Cej49JtMmjM/mqdefault.jpg,320,180,https://i.ytimg.com/vi/Cej49JtMmjM/hqdefault.jpg,480,360,pedrocloneLIVE,none,2009-10-29T01:08:26Z
youtube#searchResult,usmtNh7M2k4tcszkKCxUcXobtlA,youtube#video,eo3MFeMGSCQ,2020-07-17T03:49:00Z,UCAVT9nb3sHZDmp_p4kMVuPg,Oliver Tree - Jerk | Sub Español / Lyrics,Sigue a Oliver Tree en; IG : https://www.instagram.com/olivertree/?hl=es Twt: https://twitter.com/olivertree Me ayudarías mucho compartiendo el video si te gustó!,https://i.ytimg.com/vi/eo3MFeMGSCQ/default.jpg,120,90,https://i.ytimg.com/vi/eo3MFeMGSCQ/mqdefault.jpg,320,180,https://i.ytimg.com/vi/eo3MFeMGSCQ/hqdefault.jpg,480,360,MBE LYRICS,none,2020-07-17T03:49:00Z
youtube#searchResult,rXLUI8oSfl1GCZvecG5Che_06A8,youtube#video,7kmgcEz0RnQ,2015-10-09T19:44:18Z,UC-2yh7LH9OvbQSKeJDxndVg,Los Hitters La Hora del Jerk,La Version original es de Wilson Pickett - Land of 1000 Dances La Tierra de las 1000 Danzas Credits: Dilli Wali Girlfriend - Yeh Jawaani Hai Deewani ...,https://i.ytimg.com/vi/7kmgcEz0RnQ/default.jpg,120,90,https://i.ytimg.com/vi/7kmgcEz0RnQ/mqdefault.jpg,320,180,https://i.ytimg.com/vi/7kmgcEz0RnQ/hqdefault.jpg,480,360,R Farfan,none,2015-10-09T19:44:18Z
youtube#searchResult,PbCWCff-mTKkxZHZG_-AZhoemMY,youtube#video,oKR5beC4vkQ,2013-08-10T13:47:38Z,UCamMhSytMm91EJthLlq7AMA,New Boyz &quot;You&#39;re A Jerk&quot; Music Video (HQ),"Download New ""Foolie Tape"" http://newboyz.bandcamp.com/album/foolie-tape Our first official video! SHOUTOUTS 2 SKEE AND THE CREW!!!!",https://i.ytimg.com/vi/oKR5beC4vkQ/default.jpg,120,90,https://i.ytimg.com/vi/oKR5beC4vkQ/mqdefault.jpg,320,180,https://i.ytimg.com/vi/oKR5beC4vkQ/hqdefault.jpg,480,360,NewBoyzTV,none,2013-08-10T13:47:38Z
youtube#searchResult,gvGgWxIKpkpYbZg-y-AXGgwthiw,youtube#video,YqLsDP7lU2E,2019-01-06T11:02:43Z,UCTizSZvGLmhmQRF0F4C2n2g,JERK FAMILY [2ND PLACE] | 2019 FEEDBACKCOMPETITION 7 | Preliminary | FEEDBACKSTUDIO,"[2019 FEEDBACKCOMPETITION 7] Preliminary 2ND PLACE ""JERK FAMILY"" FRONT VIEW 영상의 저작권는 주최측에 있습니다. 본 공연의 안무는 참가팀이 오랜 ...",https://i.ytimg.com/vi/YqLsDP7lU2E/default.jpg,120,90,https://i.ytimg.com/vi/YqLsDP7lU2E/mqdefault.jpg,320,180,https://i.ytimg.com/vi/YqLsDP7lU2E/hqdefault.jpg,480,360,FEEDBACK KOREA,none,2019-01-06T11:02:43Z
youtube#searchResult,rldxDpcrOGPXkYYLOapyRwrEx4U,youtube#video,MF_uZ6hqmqU,2020-07-15T08:39:37Z,UC3la948VzHUXtBf0vCh0Imw,TW RICHIE JERK FINAL HOURS,Finalhours #richiejerk.,https://i.ytimg.com/vi/MF_uZ6hqmqU/default.jpg,120,90,https://i.ytimg.com/vi/MF_uZ6hqmqU/mqdefault.jpg,320,180,https://i.ytimg.com/vi/MF_uZ6hqmqU/hqdefault.jpg,480,360,DOCUDRAMA,none,2020-07-15T08:39:37Z
